Vocab,Pinyin,Meaning
感谢,gǎn xiè,(express) thanks; gratitude; grateful; thankful; thanks
干,gān,old variant of 干
干净,gān jìng,clean; neat
干什么,gàn shén me,what are you doing?; what's he up to?
刚,gāng,hard; firm; strong; just; barely; exactly
刚才,gāng cái,just now; a moment ago
刚刚,gāng gang,just recently; just a moment ago
港,Gǎng,Hong Kong (abbr. for 港); surname Gang
高,Gāo,surname Gao
高度,gāo dù,height; altitude; elevation; high degree; highly
高级,gāo jí,high level; high grade; advanced; high-ranking
高手,gāo shǒu,expert; past master; dab hand
高速,gāo sù,high speed; expressway (abbr. for 路)
高兴,gāo xìng,happy; glad; willing (to do sth); in a cheerful mood
高中,gāo zhōng,senior high school; abbr. for 高级中学
搞,gǎo,to do; to make; to go in for; to set up; to get hold of; to take care of
告,gào,to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue
告诉,gào sù,to press charges; to file a complaint
哥,gē,elder brother
哥哥,gē ge,older brother
歌,gē,song; to sing
歌曲,gē qǔ,song
歌手,gē shǒu,singer
革命,gé mìng,to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning); revolution; revolutionary; to revolt (against sb or sth); to revolutionize (sth); (separable verb sometimes used in the pattern 革noun的命)
格,gé,square; frame; rule; (legal) case; style; character; standard; pattern; (grammar) case; (classical) to obstruct; to hinder; (classical) to arrive; to come; (classical) to investigate; to study exhaustively
隔,gé,to separate; to partition; to stand or lie between; at a distance from; after or at an interval of
个,gě,used in 自个儿
个人,gè rén,individual; personal; oneself
个性,gè xìng,individuality; personality
各,gè,each; every
各地,gè dì,in all parts of (a country); various regions
各个,gè gè,"every; various; separately, one by one"
各位,gè wèi,"everybody; all (guests, colleagues etc); all of you"
各种,gè zhǒng,every kind of; all kinds of; various
各自,gè zì,each; respective; apiece
给,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier)
给予,jǐ yǔ,(literary) to give; to accord; to render
根,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)"
根本,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all
根据,gēn jù,according to; based on; basis; foundation
跟,gēn,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns)
跟踪,gēn zōng,to follow sb's tracks; to tail; to shadow; tracking
更,gēng,to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard)
更加,gèng jiā,more (than sth else); even more
工厂,gōng chǎng,factory
工程,gōng chéng,engineering; an engineering project; project; undertaking
工具,gōng jù,tool; instrument; utensil; means (to achieve a goal etc)
工人,gōng rén,worker
工业,gōng yè,industry
工资,gōng zī,wages; pay
工作,gōng zuò,to work; (of a machine) to operate; job; work; task
公,gōng,"public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 位; honorable (gentlemen); father-in-law; male (animal)"
公布,gōng bù,to announce; to make public; to publish
公共,gōng gòng,public; common; communal
公开,gōng kāi,open; overt; public; to make public; to release
公里,gōng lǐ,kilometer
公路,gōng lù,highway; road
公民,gōng mín,citizen
公平,gōng píng,fair; impartial
公司,gōng sī,company; firm; corporation
公寓,gōng yù,apartment building; block of flats
公园,gōng yuán,park (for public recreation)
公正,gōng zhèng,just; fair; equitable
公众,gōng zhòng,public
公主,gōng zhǔ,princess
功夫,gōng fu,skill; art; kung fu; labor; effort
功能,gōng néng,function; capability
攻击,gōng jī,to attack; to accuse; to charge; an attack (terrorist or military)
供,gōng,to provide; to supply
供应,gōng yìng,to supply; to provide; to offer
宫,Gōng,surname Gong
恭喜,gōng xǐ,to congratulate; (interj.) congratulations!
共,gòng,"common; general; to share; together; total; altogether; abbr. for 共产党, Communist party"
共同,gòng tóng,common; joint; jointly; together; collaborative
贡献,gòng xiàn,to contribute; to dedicate; to devote; contribution
沟通,gōu tōng,to join; to connect; to link up; to communicate
狗,gǒu,dog
购买,gòu mǎi,to purchase; to buy
购物,gòu wù,shopping
够,gòu,enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out
估计,gū jì,to estimate; to reckon; (coll.) to suppose
姑娘,gū niang,girl; young woman; young lady; daughter; paternal aunt (old)
孤单,gū dān,lone; lonely; loneliness
孤独,gū dú,lonely; solitary
古,Gǔ,surname Gu
股,gǔ,"thigh; part of a whole; portion of a sum; (stock) share; strand of a thread; low-level administrative unit, translated as ""section"" or ""department"" etc, ranked below 科; classifier for long winding things like ropes, rivers etc; classifier for smoke, smells etc: thread, puff, whiff; classifier for bands of people, gangs etc; classifier for sudden forceful actions"
股票,gǔ piào,share certificate; stock (finance)
鼓励,gǔ lì,to encourage
固定,gù dìng,to fix; to fasten; to set rigidly in place; fixed; set; regular
故事,gù shì,old practice
故意,gù yì,deliberately; on purpose
顾客,gù kè,customer; client
顾问,gù wèn,adviser; consultant
刮,guā,to scrape; to blow; to shave; to plunder; to extort
挂,guà,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam)
乖,guāi,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal"
怪,guài,bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather
关,Guān,surname Guan
关闭,guān bì,"to close; to shut (a window etc); (of a shop, school etc) to shut down"
关键,guān jiàn,crucial point; crux; key; crucial; pivotal
关系,guān xi,relation; relationship; to concern; to affect; to have to do with; guanxi
关心,guān xīn,to be concerned about; to care about
关于,guān yú,pertaining to; concerning; with regard to; about; a matter of
关注,guān zhù,to pay attention to; to follow sth closely; to follow (on social media); concern; interest; attention
观察,guān chá,to observe; to watch; to survey
观点,guān diǎn,point of view; viewpoint; standpoint
观看,guān kàn,to watch; to view
观众,guān zhòng,spectators; audience; visitors (to an exhibition etc)
官,Guān,surname Guan
官方,guān fāng,government; official (approved or issued by an authority)
官员,guān yuán,official (in an organization or government); administrator
冠军,guàn jūn,champion
管,guǎn,variant of 管
管理,guǎn lǐ,to supervise; to manage; to administer; management; administration
光,guāng,light; ray; bright; shiny; only; merely; used up; finished; to leave (a part of the body) uncovered
广播,guǎng bō,broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize
广场,guǎng chǎng,public square; plaza
广告,guǎng gào,to advertise; a commercial; advertisement
归,Guī,surname Gui
规定,guī dìng,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations
规划,guī huà,to draw up a plan; to map out a program; a plan; a program
规则,guī zé,rule; regulation; rules and regulations
鬼,guǐ,disembodied spirit; ghost; devil; (suffix) person with a certain vice or addiction etc; sly; crafty; resourceful (variant of 诡); one of the 28 constellations of ancient Chinese astronomy
贵,guì,expensive; noble; precious; (honorific) your
滚,gǔn,to boil; to roll; to take a hike; Get lost!
锅,guō,pot; pan; wok; cauldron; pot-shaped thing
国,Guó,surname Guo
国际,guó jì,international
国家,guó jiā,country; nation; state
国内,guó nèi,domestic; internal (to a country); civil
国外,guó wài,abroad; external (affairs); overseas; foreign
国王,guó wáng,king
果然,guǒ rán,really; sure enough; as expected; if indeed
过,Guō,surname Guo
过程,guò chéng,course of events; process
过度,guò dù,excessive; over-; excess; going too far; extravagant; intemperate; overdue
过分,guò fèn,excessive; undue; overly
过来,guò lái,to come over; to manage; to handle; to be able to take care of
过去,guò qù,(in the) past; former; previous; to go over; to pass by
哈,Hā,"abbr. for 哈萨克斯坦, Kazakhstan; abbr. for 哈尔滨, Harbin"
哈哈,hā hā,(onom.) laughing out loud
嗨,hāi,oh alas; hey!; hi! (loanword); a high (natural or drug-induced) (loanword)
还,Huán,surname Huan
还是,hái shi,still (as before); had better; unexpectedly; or
还有,hái yǒu,furthermore; in addition; still; also
孩子,hái zi,child
海,Hǎi,surname Hai
海军,hǎi jūn,navy
害,hài,to do harm to; to cause trouble to; harm; evil; calamity
害怕,hài pà,to be afraid; to be scared
含,hán,to keep in the mouth; to contain
喊,hǎn,to yell; to shout; to call out for (a person)
航班,háng bān,(scheduled) flight; (scheduled) sailing
航空,háng kōng,aviation
毫无,háo wú,not in the least; to completely lack
豪华,háo huá,luxurious
好,hǎo,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello
好吃,hǎo chī,tasty; delicious
好处,hǎo chǔ,easy to get along with
好多,hǎo duō,many; quite a lot; much better
好好,hǎo hǎo,well; carefully; nicely; properly
好久,hǎo jiǔ,quite a while
好看,hǎo kàn,"good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated"
好奇,hào qí,inquisitive; curious; inquisitiveness; curiosity
好人,hǎo rén,"good person; healthy person; person who tries not to offend anyone, even at the expense of principle"
好事,hǎo shì,"good action, deed, thing or work (also sarcastic, ""a fine thing indeed""); charity; happy occasion; Daoist or Buddhist ceremony for the souls of the dead"
好像,hǎo xiàng,as if; to seem like
好运,hǎo yùn,good luck
号,háo,roar; cry
号码,hào mǎ,number
喝,hē,to drink; variant of 嗬
合,gě,"100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗"
合法,hé fǎ,lawful; legitimate; legal
合理,hé lǐ,rational; reasonable; sensible; fair
合适,hé shì,suitable; fitting; appropriate
合同,hé tong,(business) contract
合约,hé yuē,treaty; contract
合作,hé zuò,to cooperate; to collaborate; to work together; cooperation
和,hé,old variant of 和
和平,Hé píng,"Heping District of Shenyang city 沈阳市, Liaoning; Heping or Hoping Township in Taichung County 台中县, Taiwan"
和谐,hé xié,harmonious; harmony; (euphemism) to censor
河,hé,river
核,hé,pit; stone; nucleus; nuclear; to examine; to check; to verify
核心,hé xīn,core; nucleus
盒,hé,small box; case
黑,Hēi,abbr. for Heilongjiang province 黑龙江
黑暗,hēi àn,dark; darkly; darkness
黑色,hēi sè,black
嘿,hēi,hey
很,hěn,(adverb of degree); quite; very; awfully
狠,hěn,ruthless; fierce; ferocious; determined; to harden (one's heart); old variant of 很
恨,hèn,to hate; to regret
哼,hēng,to groan; to snort; to hum; to croon; humph!
红,Hóng,surname Hong
红色,hóng sè,red (color); revolutionary
吼,hǒu,to roar; to howl; to shriek; roar or howl of an animal; bellow of rage
后,Hòu,surname Hou
后果,hòu guǒ,consequences; aftermath
后悔,hòu huǐ,to regret; to feel remorse
后来,hòu lái,afterwards; later; newly arrived
后面,hòu mian,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards
厚,hòu,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
呼吸,hū xī,to breathe
湖,hú,lake
虎,hǔ,tiger
互相,hù xiāng,each other; mutually; mutual
户,hù,a household; door; family
护,hù,to protect
护士,hù shi,nurse
花,Huā,surname Hua
花园,huā yuán,garden
滑,Huá,surname Hua
化,huā,variant of 花
化学,huà xué,chemistry; chemical
划,huá,to row; to paddle; profitable; worth (the effort); it pays (to do sth)
画,huà,to draw; to paint; picture; painting; to draw (a line) (variant of 划); stroke of a Chinese character (variant of 划); (calligraphy) horizontal stroke (variant of 划)
画面,huà miàn,scene; tableau; picture; image; screen (displayed by a computer); (motion picture) frame; field of view
话,huà,dialect; language; spoken words; speech; talk; words; conversation; what sb said
话题,huà tí,subject (of a talk or conversation); topic
怀念,huái niàn,to cherish the memory of; to think of; to reminisce
怀疑,huái yí,to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that
怀孕,huái yùn,pregnant; to have conceived; gestation; pregnancy
坏,huài,bad; spoiled; broken; to break down; (suffix) to the utmost
环,Huán,surname Huan
环节,huán jié,"(zoology) segment (of the body of a worm, centipede etc); (fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc"
环境,huán jìng,environment; circumstances; surroundings; ambient
幻想,huàn xiǎng,delusion; fantasy
换,huàn,to exchange; to change (clothes etc); to substitute; to switch; to convert (currency)
患,huàn,to suffer (from illness); to contract (a disease); misfortune; trouble; danger; worry
患者,huàn zhě,patient; sufferer
欢乐,huān lè,gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay
欢迎,huān yíng,to welcome; welcome
黄,Huáng,surname Huang or Hwang
黄金,huáng jīn,gold; golden (opportunity); prime (time)
灰,huī,ash; dust; lime; gray; discouraged; dejected
恢复,huī fù,to reinstate; to resume; to restore; to recover; to regain; to rehabilitate
挥,huī,to wave; to brandish; to command; to conduct; to scatter; to disperse
回,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
回报,huí bào,(in) return; reciprocation; payback; retaliation; to report back; to reciprocate
回答,huí dá,to reply; to answer; reply; answer
回到,huí dào,to return to
回复,huí fù,to reply; to recover; to return (to a previous condition); Re: in reply to (email)
回归,huí guī,to return to; to retreat; regression (statistics)
回家,huí jiā,to return home
回来,huí lai,to return; to come back
回去,huí qu,to return; to go back
回头,huí tóu,to turn round; to turn one's head; later; by and by
回忆,huí yì,to recall; memories
毁,huǐ,to destroy; to ruin; to defame; to slander
会,huì,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ])
会见,huì jiàn,to meet with (sb who is paying a visit)
会议,huì yì,meeting; conference
婚礼,hūn lǐ,wedding ceremony; wedding
婚姻,hūn yīn,matrimony; wedding; marriage
混,hún,confused; dirty; to mix; muddy; variant of 浑
混合,hùn hé,to mix; to blend; hybrid; composite
混乱,hùn luàn,confusion; chaos; disorder
活,huó,to live; alive; living; work; workmanship
活动,huó dòng,to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior
活力,huó lì,energy; vitality; vigor; vital force
火,Huǒ,surname Huo
火车,huǒ chē,train
火箭,huǒ jiàn,rocket
伙伴,huǒ bàn,partner; companion; comrade
或,huò,maybe; perhaps; might; possibly; or
或是,huò shì,or; either one or the other
或许,huò xǔ,perhaps; maybe
或者,huò zhě,or; possibly; maybe; perhaps
货,huò,goods; money; commodity
获,huò,(literary) to catch; to capture; (literary) to get; to obtain; to win
获得,huò dé,to obtain; to receive; to get
获胜,huò shèng,victorious; to win; to triumph
机场,jī chǎng,airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship
机构,jī gòu,mechanism; structure; organization; agency; institution
机关,jī guān,mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; stratagem; scheme; intrigue; plot; trick
机会,jī huì,opportunity; chance; occasion
机器,jī qì,machine
机械,jī xiè,machine; machinery; mechanical; (old) cunning; scheming
肌肉,jī ròu,muscle; flesh
鸡,jī,fowl; chicken; (slang) prostitute
鸡蛋,jī dàn,(chicken) egg; hen's egg
积极,jī jí,active; energetic; vigorous; positive (outlook); proactive
基本,jī běn,basic; fundamental; main; elementary
基本上,jī běn shang,basically; on the whole
基础,jī chǔ,base; foundation; basis; basic; fundamental
基地,jī dì,base (of operations); industrial or military base; al-Qaeda
基金,jī jīn,fund
基因,jī yīn,gene (loanword)
基于,jī yú,because of; on the basis of; in view of; on account of
激动,jī dòng,to move emotionally; to stir up (emotions); to excite
激烈,jī liè,(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned; vehement; (of a course of action) drastic; extreme
激情,jī qíng,passion; fervor; enthusiasm; strong emotion
及,jí,and; to reach; up to; in time for
及时,jí shí,timely; at the right time; promptly; without delay
级,jí,"level; grade; rank; step (of stairs); classifier: step, level"
即,jí,namely; that is; i.e.; prompt; at once; at present; even if; prompted (by the occasion); to approach; to come into contact; to assume (office); to draw near
即便,jí biàn,even if; even though; right away; immediately
即将,jí jiāng,on the eve of; to be about to; to be on the verge of
即使,jí shǐ,even if; even though
极,jí,"extremely; pole (geography, physics); utmost; top"
极了,jí le,extremely; exceedingly
急,jí,urgent; pressing; rapid; hurried; worried; to make (sb) anxious
疾病,jí bìng,disease; sickness; ailment
集,jí,to gather; to collect; collected works; classifier for sections of a TV series etc: episode
集体,jí tǐ,collective (decision); joint (effort); a group; a team; en masse; as a group
集团,jí tuán,group; bloc; corporation; conglomerate
集中,jí zhōng,to concentrate; to centralize; to focus; centralized; concentrated; to put together
几,jī,small table
几乎,jī hū,almost; nearly; practically
挤,jǐ,to crowd in; to cram in; to force others aside; to press; to squeeze; to find (time in one's busy schedule)
计,Jì,surname Ji
计划,jì huà,plan; project; program; to plan; to map out
计算,jì suàn,to count; to calculate; to compute
计算机,jì suàn jī,computer; (Tw) calculator
记,jì,"to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots"
记得,jì de,to remember
记录,jì lù,to record; record (written account); note-taker; record (in sports etc)
记忆,jì yì,to remember; to recall; memory
记者,jì zhě,reporter; journalist
记住,jì zhu,to remember; to bear in mind; to learn by heart
纪录,jì lù,"variant of 记录 (but in Taiwan, not for the verb sense ""to record"")"
纪念,jì niàn,to commemorate; to honor the memory of; memento; keepsake; souvenir
技巧,jì qiǎo,skill; technique
技术,jì shù,technology; technique; skill
剂,jì,dose (medicine)
季,Jì,surname Ji
既,jì,already; since; both... (and...)
既然,jì rán,since; as; this being the case
继续,jì xù,to continue; to proceed with; to go on with
寂寞,jì mò,lonely; lonesome; (of a place) quiet; silent
寄,jì,to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc)
加,Jiā,Canada (abbr. for 大); surname Jia
加快,jiā kuài,to accelerate; to speed up
加强,jiā qiáng,to reinforce; to strengthen; to enhance
加入,jiā rù,to become a member; to join; to mix into; to participate in; to add in
加上,jiā shàng,plus; to put in; to add; to add on; to add into; in addition; on top of that
加速,jiā sù,to speed up; to expedite
加油,jiā yóu,to add oil; to top up with gas; to refuel; to accelerate; to step on the gas; (fig.) to make an extra effort; to cheer sb on
夹,jiā,to press from either side; to place in between; to sandwich; to carry sth under armpit; wedged between; between; to intersperse; to mix; to mingle; clip; folder; Taiwan pr. [jiá]
家,jiā,used in 家伙 and 家俱
家伙,jiā huo,variant of 伙
家里,jiā lǐ,home
家人,jiā rén,family member; (old) servant
家庭,jiā tíng,family; household
家长,jiā zhǎng,head of a household; family head; patriarch; parent or guardian of a child
家族,jiā zú,family; clan
甲,jiǎ,"first of the ten Heavenly Stems 干; (used for an unspecified person or thing); first (in a list, as a party to a contract etc); letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc; armor plating; shell or carapace; (of the fingers or toes) nail; bladed leather or metal armor (old); ranking system used in the Imperial examinations (old); civil administration unit in the baojia 甲 system (old); ancient Chinese compass point: 75°"
假,gēi,used in 掰
假如,jiǎ rú,if
价,jià,price; value; (chemistry) valence
价格,jià gé,price
价值,jià zhí,"value; worth; fig. values (ethical, cultural etc)"
驾驶,jià shǐ,"to pilot (ship, airplane etc); to drive"
架,jià,"to support; frame; rack; framework; classifier for planes, large vehicles, radios etc"
嫁,jià,(of a woman) to marry; to marry off a daughter; to shift (blame etc)
坚持,jiān chí,to persevere with; to persist in; to insist on
坚强,jiān qiáng,staunch; strong
间,jiān,between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms
艰难,jiān nán,difficult; hard; challenging
监督,jiān dū,to control; to supervise; to inspect
监控,jiān kòng,to monitor
监狱,jiān yù,prison
减,jiǎn,to lower; to decrease; to reduce; to subtract; to diminish
减肥,jiǎn féi,to lose weight
减少,jiǎn shǎo,to lessen; to decrease; to reduce; to lower
剪,Jiǎn,surname Jian
检测,jiǎn cè,to detect; to test; detection; sensing
检查,jiǎn chá,inspection; to examine; to inspect
检验,jiǎn yàn,to inspect; to examine; to test
简单,jiǎn dān,simple; not complicated
简直,jiǎn zhí,simply; really
见,jiàn,to see; to meet; to appear (to be sth); to interview; opinion; view
见到,jiàn dào,to see
见面,jiàn miàn,to meet; to see each other
件,jiàn,"item; component; classifier for events, things, clothes etc"
建,jiàn,to establish; to found; to set up; to build; to construct
建立,jiàn lì,to establish; to set up; to found
建议,jiàn yì,to propose; to suggest; to recommend; proposal; suggestion; recommendation
建造,jiàn zào,to construct; to build
建筑,jiàn zhù,to construct; building
剑,jiàn,double-edged sword; classifier for blows of a sword
健康,jiàn kāng,health; healthy
将,jiāng,"will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把)"
将军,Jiāng jūn,(common place name)
将来,jiāng lái,in the future; future; the future
讲,jiǎng,to speak; to explain; to negotiate; to emphasize; to be particular about; as far as sth is concerned; speech; lecture
讲话,jiǎng huà,a speech; to speak; to talk; to address
奖,jiǎng,prize; award; encouragement
奖金,jiǎng jīn,premium; award money; bonus
奖励,jiǎng lì,to reward; reward (as encouragement)
降,jiàng,to drop; to fall; to come down; to descend
降低,jiàng dī,to reduce; to lower; to bring down
交,jiāo,to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); variant of 跤
交给,jiāo gěi,to give; to deliver; to hand over
交换,jiāo huàn,to exchange; to swap; to switch (telecom); commutative (math); to commute
交流,jiāo liú,to exchange; exchange; communication; interaction; to have social contact (with sb)
交通,jiāo tōng,to be connected; traffic; transportation; communications; liaison
交往,jiāo wǎng,to associate (with); to have contact (with); to hang out (with); to date; (interpersonal) relationship; association; contact
交易,jiāo yì,to deal; to trade; to transact; transaction; deal
骄傲,jiāo ào,pride; arrogance; conceited; proud of sth
角,Jué,surname Jue
角度,jiǎo dù,angle; point of view
角色,jué sè,role; character in a novel; persona; also pr. [jiǎo sè]
脚,jiǎo,foot; leg (of an animal or an object); base (of an object); classifier for kicks
叫,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
轿车,jiào chē,enclosed carriage for carrying passengers; motor carriage; car or bus; limousine
较,jiào,to compare; to dispute; compared to; (before adj.) relatively; comparatively; rather; also pr. [jiǎo]
教,Jiào,surname Jiao
教练,jiào liàn,instructor; sports coach; trainer
教师,jiào shī,teacher
教授,jiào shòu,professor; to instruct; to lecture on
教训,jiào xun,to provide guidance; to lecture sb; to upbraid; a talking-to; a bitter lesson
教育,jiào yù,to educate; to teach; education
阶段,jiē duàn,stage; section; phase; period
皆,jiē,all; each and every; in all cases
接,jiē,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb
接触,jiē chù,to touch; to contact; access; in touch with
接到,jiē dào,to receive (letter etc)
接近,jiē jìn,to approach; to get close to
接受,jiē shòu,to accept; to receive
接下来,jiē xià lái,to accept; to take; next; following
接着,jiē zhe,to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn
街,jiē,street
街道,jiē dào,street; subdistrict; residential district
节,jiē,see 节骨眼
节目,jié mù,program; item (on a program)
节日,jié rì,holiday; festival
结,jiē,(of a plant) to produce (fruit or seeds); Taiwan pr. [jié]
结构,jié gòu,structure; composition; makeup; architecture
结果,jiē guǒ,to bear fruit
结合,jié hé,to combine; to link; to integrate; binding
结婚,jié hūn,to marry; to get married
结局,jié jú,conclusion; ending
结论,jié lùn,conclusion; verdict; to conclude; to reach a verdict
结束,jié shù,termination; to finish; to end; to conclude; to close
解,Xiè,surname Xie
解放,jiě fàng,to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949
解决,jiě jué,"to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)"
解释,jiě shì,explanation; to explain; to interpret; to resolve
介绍,jiè shào,to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction
戒,jiè,to guard against; to exhort; to admonish or warn; to give up or stop doing sth; Buddhist monastic discipline; ring (for a finger)
届,jiè,"to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures, years (of graduation)"
界,jiè,(bound form) boundary; border; (bound form) realm
借,jiè,to lend; to borrow; by means of; to take (an opportunity)
姐,jiě,older sister
姐姐,jiě jie,older sister
姐妹,jiě mèi,"sisters; siblings; sister (school, city etc)"
今后,jīn hòu,hereafter; henceforth; in the future; from now on
今年,jīn nián,this year
今日,jīn rì,today
今天,jīn tiān,today; at the present; now
金,Jīn,surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234)
金属,jīn shǔ,metal
仅,jǐn,barely; only; merely
仅仅,jǐn jǐn,barely; only; merely; only (this and nothing more)
尽,jǐn,to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to
尽管,jǐn guǎn,"despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating"
尽快,jǐn kuài,as quickly as possible; as soon as possible
尽量,jǐn liàng,as much as possible; to the greatest extent
紧,jǐn,tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten
紧急,jǐn jí,urgent; emergency
紧张,jǐn zhāng,nervous; keyed up; intense; tense; strained; in short supply; scarce
近,jìn,near; close to; approximately
进,jìn,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound
进步,jìn bù,progress; improvement; to improve; to progress
进攻,jìn gōng,to attack; to assault; to go on the offensive; attack; assault; offense (sports)
进来,jìn lái,to come in
进去,jìn qù,to go in
进入,jìn rù,to enter; to join; to go into
进行,jìn xíng,to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute
进一步,jìn yī bù,"to go a step further; (develop, understand, improve etc) more; further"
进展,jìn zhǎn,to make headway; to make progress
禁止,jìn zhǐ,to prohibit; to forbid; to ban
经,Jīng,surname Jing
经常,jīng cháng,frequently; constantly; regularly; often; day-to-day; everyday; daily
经典,jīng diǎn,"the classics; scriptures; classical; classic (example, case etc); typical"
经过,jīng guò,to pass; to go through; process; course
经济,jīng jì,economy; economic
经理,jīng lǐ,manager; director
经历,jīng lì,experience; to experience; to go through
经验,jīng yàn,experience; to experience
经营,jīng yíng,to engage in (business etc); to run; to operate
惊,jīng,to startle; to be frightened; to be scared; alarm
惊喜,jīng xǐ,nice surprise; to be pleasantly surprised
惊讶,jīng yà,amazed; astonished; to surprise; amazing; astonishment; awe
精,jīng,essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic)
精彩,jīng cǎi,wonderful; marvelous; brilliant
精力,jīng lì,energy
精神,jīng shén,spirit; mind; consciousness; thought; mental; psychological; essence; gist
井,Jǐng,"Jing, one of the 28 constellations of Chinese astronomy; surname Jing"
警察,jǐng chá,police; police officer
警告,jǐng gào,to warn; to admonish
竞争,jìng zhēng,to compete; competition
竟,jìng,unexpectedly; actually; to go so far as to; indeed
竟然,jìng rán,unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to
静,jìng,still; calm; quiet; not moving
镜头,jìng tóu,camera lens; camera shot (in a movie etc); scene
究竟,jiū jìng,to go to the bottom of a matter; after all; when all is said and done; (in an interrogative sentence) finally; outcome; result
九,jiǔ,nine; 9
久,jiǔ,(long) time; (long) duration of time
酒,jiǔ,wine (esp. rice wine); liquor; spirits; alcoholic beverage
酒吧,jiǔ bā,bar; pub; saloon
酒店,jiǔ diàn,wine shop; pub (public house); hotel; restaurant; (Tw) hostess club
旧,jiù,old; opposite: new 新; former; worn (with age)
救,jiù,variant of 救
就,jiù,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 是) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 着) taking advantage of; (of food) to go with; with regard to; concerning; (pattern: 就 ... 也 ...) even if ... still ...; (pattern: 不 ... 就 ...) if not ... then must be ...
