Vocab,Pinyin,Meaning,Example,Example_Meaning
当作,dàng zuò,to treat as; to regard as,我把你当作朋友。,I treat you as a friend.
挡,dǎng,to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car's transmission),请别挡着门。,Please don't block the door.
党,Dǎng,surname Dang,我姓党。,I am surnamed Dang.
档,dǎng,"(Tw) variant of 挡, gear",请挂档。,Please shift gear.
档案,dàng àn,file; record; archive,档案在抽屉里。,The file is in the drawer.
刀,Dāo,surname Dao,请给我一把刀。,Please give me a knife.
导弹,dǎo dàn,(guided) missile,他们发射了导弹。,They launched a missile.
导演,dǎo yǎn,to direct; director (film etc),他是电影导演。,He is a film director.
导致,dǎo zhì,to lead to; to create; to cause; to bring about,熬夜导致失眠。,Staying up late causes insomnia.
岛,dǎo,variant of 岛,我们去岛上玩吧。,Let's go to the island to play.
到,dào,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,我到家了。,I've arrived home.
到处,dào chù,everywhere,我到处找你。,I'm looking for you everywhere.
到达,dào dá,to reach; to arrive,我们明天到达北京。,We arrive in Beijing tomorrow.
到底,dào dǐ,finally; in the end; when all is said and done; after all; to the end; to the last,他到底来了。,He finally came.
到来,dào lái,to arrive; arrival; advent,期待你的到来。,Looking forward to your arrival.
倒,dǎo,to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit,他累倒了。,He collapsed from exhaustion.
道,dào,"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)",前面有条小道。,There is a small path ahead.
道德,dào dé,virtue; morality; ethics,道德很重要。,Morality is very important.
道理,dào li,reason; argument; sense; principle; basis; justification,这话有道理。,This makes sense.
道路,dào lù,road; path; way,道路在左边。,The road is on the left.
道歉,dào qiàn,to apologize,我向你道歉。,I apologize to you.
德,Dé,Germany; German; abbr. for 德国,德菜很好吃。,German food is delicious.
地,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",他慢慢地走。,He walks slowly.
地板,dì bǎn,floor,地板很干净。,The floor is very clean.
地点,dì diǎn,place; site; location; venue,我们选个地点吧。,Let's pick a place.
地方,dì fāng,region; regional (away from the central administration); local,这里是个好地方。,This is a good place.
地面,dì miàn,floor; ground; surface,地面很干净。,The ground is very clean.
地球,dì qiú,the earth,我爱地球。,I love the earth.
地区,dì qū,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)",你来自哪个地区？,Which region are you from?
地上,dì shang,on the ground; on the floor,我的书在地上。,My book is on the floor.
地铁,dì tiě,underground railway; subway; subway train,我们坐地铁吧。,Let's take the subway.
地图,dì tú,map,请给我一张地图。,Please give me a map.
地位,dì wèi,position; status; place,他在公司地位很高。,He has high status in the company.
地下,dì xià,underground; subterranean; covert,我们在地下停车场。,We are in the underground parking lot.
地震,dì zhèn,earthquake,昨天发生了地震。,An earthquake happened yesterday.
地址,dì zhǐ,address,你的地址是什么？,What is your address?
的,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs,这是我的书。,This is my book.
的话,de huà,if (coming after a conditional clause),下雨的话，我不去。,"If it rains, I won't go."
的确,dí què,really; indeed,这的确不错。,This is indeed good.
得,dé,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished,他得了第一名。,He got first place.
得到,dé dào,to get; to obtain; to receive,我得到了好消息。,I got some good news.
得分,dé fēn,to score,他得分了。,He scored.
得了,dé le,all right!; that's enough!,得了，别说了。,"All right, that's enough."
得知,dé zhī,to find out; to learn of,我刚得知这个消息。,I just found out the news.
灯,dēng,lamp; light; lantern,请开灯。,Please turn on the light.
登,dēng,to scale (a height); to ascend; to mount; to publish or record; to enter (e.g. in a register); to press down with the foot; to step or tread on; to put on (shoes or trousers) (dialect); to be gathered and taken to the threshing ground (old),今天去登山吧。,Let's go hiking today.
登记,dēng jì,to register (one's name),请登记名字。,Please register your name.
等,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,请等一下。,Please wait a moment.
等待,děng dài,to wait; to wait for,我在等待公交车。,I am waiting for the bus.
等于,děng yú,to equal; to be tantamount to,这等于白干。,This equals working for nothing.
低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline,他低着头。,He lowered his head.
滴,dī,a drop; to drip,水滴下来了。,The water is dripping down.
敌人,dí rén,enemy,别怕，敌人很弱。,"Don't worry, the enemy is weak."
底,de,(equivalent to 的 as possessive particle),这是我底朋友。,This is my friend.
弟弟,dì di,younger brother,我有个弟弟。,I have a younger brother.
第,dì,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",我是第一名。,I am first place.
第二,dì èr,second; number two; next; secondary,这是第二个。,This is the second one.
第一,dì yī,first; number one; primary,我是第一名。,I got first place.
典型,diǎn xíng,model; typical case; archetype; typical; representative,他是典型的懒人。,He is a typical lazy person.
点,diǎn,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items,现在几点？,What time is it now?
电,diàn,lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc,手机没电了。,My phone is out of battery.
电池,diàn chí,battery,我的手机没电池了。,My phone has no battery.
电话,diàn huà,telephone; phone call; phone number,请给我打电话。,Please call me.
电力,diàn lì,electrical power; electricity,我们这里电力很足。,We have plenty of power here.
电脑,diàn nǎo,computer,我的电脑坏了。,My computer is broken.
电视,diàn shì,television; TV,我喜欢看电视。,I like watching TV.
电视台,diàn shì tái,television station,我在电视台工作。,I work at a television station.
电梯,diàn tī,elevator; escalator,坐电梯吧。,Let's take the elevator.
电影,diàn yǐng,movie; film,我喜欢看电影。,I like watching movies.
电子,diàn zǐ,electronic; electron (particle physics),我用电子支付。,I use electronic payment.
店,diàn,inn; old-style hotel; (bound form) shop; store,这家店很好。,This shop is very good.
调,diào,to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody,公司要调我去北京。,The company wants to transfer me to Beijing.
调查,diào chá,investigation; inquiry; to investigate; to survey; survey; (opinion) poll,我们在做调查。,We are doing a survey.
调整,tiáo zhěng,to adjust; adjustment; revision,我调整了闹钟。,I adjusted my alarm clock.
掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)",手机掉地上了。,My phone fell on the ground.
丁,Dīng,surname Ding,我姓丁。,My surname is Ding.
盯,dīng,to watch attentively; to fix one's attention on; to stare at; to gaze at,别盯着我看。,Don't stare at me.
顶,dǐng,"apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to ""bump"" a forum thread to raise its profile; classifier for headwear, hats, veils etc",山顶的风景很美。,The view at the top of the mountain is beautiful.
订,dìng,to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order,我订了房间。,I booked a room.
定,dìng,to set; to fix; to determine; to decide; to order,时间定好了。,The time is set.
定位,dìng wèi,to orientate; to position; to categorize (as); to characterize (as); positioning; position; niche,他的定位很准。,His positioning is very accurate.
丢,diū,to lose; to put aside; to throw,我丢了钥匙。,I lost my keys.
东,Dōng,surname Dong,我朋友姓东。,My friend's surname is Dong.
东西,dōng xī,east and west,南北和东西都是方向。,"North, south, east, and west are all directions."
冬天,dōng tiān,winter,我喜欢冬天。,I like winter.
董事会,dǒng shì huì,board of directors,董事会明天开会。,The board of directors will meet tomorrow.
懂,dǒng,to understand; to comprehend,我懂你的意思。,I understand what you mean.
懂得,dǒng de,to understand; to know; to comprehend,我懂得你的意思。,I understand what you mean.
动,dòng,"(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 动词, verb",你别动。,Don't move.
动力,dòng lì,motive power; force; (fig.) motivation; impetus,我需要一点动力。,I need a little motivation.
动手,dòng shǒu,to set about (a task); to hit; to punch; to touch,我们马上动手吧。,Let's get to work right away.
动物,dòng wù,animal,我喜欢动物。,I like animals.
动作,dòng zuò,movement; motion; action; to act; to move,你的动作真快。,Your movements are so fast.
冻,dòng,to freeze; to feel very cold; aspic or jelly,今天好冷，别冻着。,"It's so cold today, don't catch a chill."
栋,dòng,classifier for houses or buildings; ridgepole (old),这栋楼很高。,This building is very tall.
洞,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers),墙上有个大洞。,There is a big hole in the wall.
都,Dū,surname Du,都老师来了。,Teacher Du is here.
斗,Dǒu,abbr. for the Big Dipper constellation 星,抬头看北斗。,Look up at the Big Dipper.
斗争,dòu zhēng,a struggle; fight; battle,这是一场斗争。,This is a struggle.
毒,dú,poison; to poison; poisonous; malicious; cruel; fierce; narcotics,这蛇有毒。,This snake is poisonous.
毒品,dú pǐn,drugs; narcotics; poison,毒品很危险。,Drugs are very dangerous.
独,dú,alone; independent; single; sole; only,他独自在家。,He is alone at home.
独立,dú lì,independent; independence; to stand alone,我想独立生活。,I want to live independently.
独特,dú tè,unique; distinctive,她的风格很独特。,Her style is very unique.
独自,dú zì,alone,他独自去了公园。,He went to the park alone.
读,dòu,comma; phrase marked by pause,此处加个读。,Add a pause here.
读书,dú shū,to read a book; to study; to attend school,我喜欢读书。,I like reading books.
堵,dǔ,"to block up (a road, pipe etc); to stop up (a hole); (fig.) (of a person) choked up with anxiety or stress; wall (literary); (classifier for walls)",路被堵住了。,The road is blocked.
赌,dǔ,to bet; to gamble,别赌钱。,Don't bet money.
肚子,dù zi,belly; abdomen; stomach,我肚子饿了。,I'm hungry.
度,dù,"to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences",周末怎么度过？,How will you spend the weekend?
度过,dù guò,to pass; to spend (time); to survive; to get through,我们一起度过周末。,We spend the weekend together.
端,duān,end; extremity; item; port; to hold sth level with both hands; to carry; regular,他端着一碗饭。,He is holding a bowl of rice.
短,duǎn,short; brief; to lack; weak point; fault,头发太短了。,My hair is too short.
段,Duàn,surname Duan,我姓段。,My surname is Duan.
断,duàn,to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly,别断我的网。,Don't cut off my internet.
锻炼,duàn liàn,to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself,我每天锻炼。,I exercise every day.
堆,duī,to pile up; to heap up; a mass; pile; heap; stack; large amount,地上有一堆书。,There is a pile of books on the ground.
队,duì,squadron; team; group,我加入足球队。,I joined the soccer team.
队伍,duì wǔ,ranks; troops; queue; line; procession,队伍很长。,The line is very long.
队员,duì yuán,team member,我是足球队员。,I am a soccer team member.
队长,duì zhǎng,captain; team leader,他是我们的队长。,He is our team captain.
对,duì,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,你说得对。,You're right.
对不起,duì bu qǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint,对不起，我迟到了。,"I'm sorry, I'm late."
对待,duì dài,to treat; treatment,他对待朋友很真诚。,He treats his friends very sincerely.
对方,duì fāng,the other person; the other side; the other party,我还没联系对方。,I haven't contacted the other person yet.
对付,duì fu,to handle; to deal with; to tackle; to get by with; to make do; (dialect) (usu. used in the negative) to get along with (sb),,
对话,duì huà,to talk (with sb); dialogue; conversation,我想和你对话。,I want to talk with you.
对面,duì miàn,(sitting) opposite; across (the street); directly in front; to be face to face,我们坐对面吧。,Let's sit opposite each other.
对手,duì shǒu,opponent; rival; competitor; (well-matched) adversary; match,他是我的对手。,He is my opponent.
对象,duì xiàng,target; object; partner; boyfriend; girlfriend,他是我对象。,He is my boyfriend.
对于,duì yú,regarding; as far as (sth) is concerned; with regard to,对于中文，我觉得有趣。,"As for Chinese, I find it interesting."
蹲,dūn,to crouch; to squat; to stay (somewhere),别蹲太久，腿会麻。,"Don't squat too long, your legs will go numb."
顿,dùn,"to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal",吃一顿饭吧。,Let's have a meal.
多,duō,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-,今天人多。,There are many people today.
多久,duō jiǔ,(of time) how long?; (not) a long time,你等了多久？,How long did you wait?
多么,duō me,how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent,他多么聪明啊！,How smart he is!
多少,duō shǎo,number; amount; somewhat,这个多少钱？,How much is this?
夺,duó,to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose,他一把夺过球。,He snatched the ball.
躲,duǒ,to hide; to dodge; to avoid,我去躲雨。,I'll go hide from the rain.
恶,ě,used in 恶心,这东西真恶心。,This thing is really disgusting.
恶心,ě xīn,variant of 恶心,我有点恶心。,I feel a bit nauseous.
饿,è,to be hungry; hungry; to starve (sb),我饿了。,I'm hungry.
儿童,ér tóng,child,儿童喜欢听故事。,Children like listening to stories.
儿子,ér zi,son,我儿子很可爱。,My son is very cute.
而,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast),他聪明而努力。,He is smart and hardworking.
而且,ér qiě,(not only ...) but also; moreover; in addition; furthermore,她聪明而且漂亮。,She is smart and pretty.
而是,ér shì,rather,他不是哭，而是笑。,"He didn't cry, but rather laughed."
而已,ér yǐ,that's all; nothing more,我只是开玩笑而已。,"I'm just joking, that's all."
耳朵,ěr duo,ear; handle (on a cup),我耳朵疼。,My ear hurts.
二,èr,two; 2; (Beijing dialect) stupid,今天是二月二号。,Today is February second.
发,fā,to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds),我发给你。,I will send it to you.
发表,fā biǎo,to issue; to publish,他刚发表新文章。,He just published a new article.
发布,fā bù,to release; to issue; to announce; to distribute; also written 发布,公司发布新产品。,The company released a new product.
发出,fā chū,"to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)",他发出了笑声。,He let out a laugh.
发动,fā dòng,to start; to launch; to unleash; to mobilize; to arouse,他发动了汽车。,He started the car.
发挥,fā huī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme),请发挥你的特长。,Please play to your strengths.
发明,fā míng,to invent; an invention,他发明了手机。,He invented the mobile phone.
发射,fā shè,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission,我们发射了火箭。,We launched a rocket.
发生,fā shēng,to happen; to occur; to take place; to break out,刚才发生了什么？,What just happened?
发现,fā xiàn,to notice; to become aware of; to discover; to find; to detect; a discovery,我发现了问题。,I found the problem.
发行,fā xíng,"to publish; to issue (stocks, currency etc); to release; to distribute (a film)",他们发行新专辑。,They are releasing a new album.
发型,fà xíng,hairstyle; coiffure; hairdo,你的新发型很好看。,Your new hairstyle looks great.
发展,fā zhǎn,development; growth; to develop; to grow; to expand,公司发展很快。,The company is developing fast.
罚,fá,to punish; to penalize,他迟到被罚了。,He was punished for being late.
法,fǎ,variant of 法,方法很简单。,The method is simple.
法官,fǎ guān,judge (in court),法官今天很忙。,The judge is very busy today.
法律,fǎ lǜ,law,你懂法律吗？,Do you understand the law?
法庭,fǎ tíng,court of law,我们去法庭吧。,Let's go to court.
法院,fǎ yuàn,court of law; court,我们去法院吧。,Let's go to court.
翻,fān,to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross,请翻到下一页。,Please turn to the next page.
烦,fán,to feel vexed; to bother; to trouble; superfluous and confusing; edgy,别烦我。,Don't bother me.
反,fǎn,contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 切 phonetic system,衣服穿反了。,I wore my clothes backwards.
反对,fǎn duì,to oppose; to be against; to object to,我反对这个计划。,I oppose this plan.
反而,fǎn ér,on the contrary; instead,吃了药，反而更困了。,"I took the medicine, but got sleepier instead."
反应,fǎn yìng,to react; to respond; reaction; response; reply; chemical reaction,你的反应真快。,Your reaction is so fast.
反映,fǎn yìng,to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render,报告反映了实际情况。,The report reflects the actual situation.
反正,fǎn zhèng,anyway; in any case; to come over from the enemy's side,反正我不去。,"Anyway, I'm not going."
返回,fǎn huí,to return to; to come (or go) back,我马上返回。,I'll be right back.
犯,fàn,to violate; to offend; to assault; criminal; crime; to make a mistake; recurrence (of mistake or sth bad),别犯错了。,Don't make a mistake.
犯罪,fàn zuì,to commit a crime; crime; offense,犯罪是不对的。,Crime is wrong.
饭,fàn,cooked rice; meal; (loanword) fan; devotee,晚饭吃什么？,What's for dinner?
饭店,fàn diàn,restaurant; hotel,我们去饭店吃饭吧。,Let's go eat at a restaurant.
范围,fàn wéi,range; scope; limit; extent,这个范围太窄了。,This range is too narrow.
方,Fāng,surname Fang,他姓方。,His last name is Fang.
方案,fāng àn,plan; program (for action etc); proposal; proposed bill,这个方案不错。,This plan is good.
方便,fāng biàn,convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself,你什么时候方便？,When is convenient for you?
方法,fāng fǎ,method; way; means,你有什么好方法？,Do you have a good method?
方面,fāng miàn,respect; aspect; field; side,这方面我不懂。,I don't understand this aspect.
方式,fāng shì,way; manner; style; mode; pattern,我们换个方式吧。,Let's try a different way.
方向,fāng xiàng,direction; orientation,你往哪个方向走？,Which way are you going?
防,fáng,to protect; to defend; to guard against; to prevent,记得防晒,Remember to protect yourself from the sun.
防守,fáng shǒu,to defend; to protect (against),我们加强防守。,We'll step up our defense.
防止,fáng zhǐ,to prevent; to guard against; to take precautions,多喝水防止感冒。,Drink more water to prevent colds.
房地产,fáng dì chǎn,real estate,他投资房地产。,He invests in real estate.
房间,fáng jiān,room,房间很干净。,The room is very clean.
房屋,fáng wū,house; building,这房屋很干净。,This house is very clean.
房子,fáng zi,house; building (single- or two-story); apartment; room,这房子多少钱？,How much is this house?
访问,fǎng wèn,to visit; to call on; to interview,我明天访问老师。,I will visit my teacher tomorrow.
放,fàng,to put; to place; to release; to free; to let go; to let out; to set off (fireworks),请放这里。,Please put it here.
放到,fàng dào,Put in,把书放到桌上。,Put the book on the table.
放弃,fàng qì,to renounce; to abandon; to give up,我放弃了。,I gave up.
放松,fàng sōng,to relax; to slacken; to loosen,周末我想放松一下。,I want to relax this weekend.
放下,fàng xià,to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc),把手机放下。,Put down the phone.
放心,fàng xīn,to feel relieved; to feel reassured; to be at ease,你放心，没事的。,"Rest assured, it's fine."
飞,fēi,to fly,小鸟会飞。,Birds can fly.
飞机,fēi jī,airplane,我们坐飞机吧。,Let's take a plane.
飞行,fēi xíng,(of planes etc) to fly; flying; flight; aviation,这次飞行很顺利。,This flight went smoothly.
非,Fēi,"abbr. for 洲, Africa",我去南非。,I go to South Africa.
非常,fēi cháng,very; really; unusual; extraordinary,今天非常热。,It is very hot today.
非法,fēi fǎ,illegal,这是非法的。,This is illegal.
肥,féi,fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure,这肉很肥。,This meat is very fatty.
肺,fèi,lung,我的肺很好。,My lungs are healthy.
费,Fèi,surname Fei,费老师来了。,Teacher Fei is here.
费用,fèi yòng,cost; expenditure; expense,这笔费用谁付？,Who pays this cost?
分,fēn,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money),我们分蛋糕吧。,Let's share the cake.
分别,fēn bié,to part; to leave each other; to distinguish; to tell apart; difference; distinction; in different ways; differently; separately; individually,我们分别回家吧。,Let's go home separately.
分开,fēn kāi,to separate; to part,我们分开吧。,Let's part ways.
分离,fēn lí,to separate,我们不得不分离。,We have to separate.
分配,fēn pèi,to distribute; to assign; to allocate; to partition (a hard drive),任务怎么分配？,How should we assign the task?
分手,fēn shǒu,to part company; to split up; to break up,我们分手吧。,Let's break up.
分析,fēn xī,to analyze; analysis,请分析一下数据。,Please analyze the data.
分享,fēn xiǎng,to share (let others have some of sth good),我们一起分享蛋糕吧。,Let's share the cake together.
分钟,fēn zhōng,minute,请等一分钟。,Please wait one minute.
粉,fěn,powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; (dialect) to whitewash; white; pink; (suffix) fan (abbr. for 粉丝); to be a fan of,我喜欢吃米粉。,I like eating rice noodles.
粉丝,fěn sī,bean vermicelli; mung bean starch noodles; Chinese vermicelli; cellophane noodles; fan (loanword); enthusiast for sb or sth,我爱吃粉丝。,I love eating vermicelli.
份,fèn,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分",我买了一份报纸。,I bought a newspaper.
愤怒,fèn nù,angry; indignant; wrath; ire,他非常愤怒。,He is very angry.
丰富,fēng fù,to enrich; rich; plentiful; abundant,他的知识很丰富。,His knowledge is very rich.
风,fēng,wind; news; style; custom; manner,今天风很大。,It is very windy today.
风格,fēng gé,style,我喜欢你的风格。,I like your style.
风险,fēng xiǎn,risk; hazard,投资有风险。,Investing has risks.
封,Fēng,surname Feng,我姓封。,My surname is Feng.
疯,fēng,insane; mad; wild,你疯了吗？,Are you crazy?
疯狂,fēng kuáng,crazy; frenzied; wild,这主意真疯狂。,This idea is really crazy.
否认,fǒu rèn,to declare to be untrue; to deny,他否认了这件事。,He denied it.
否则,fǒu zé,otherwise; if not; or (else),快走，否则迟到。,"Hurry up, otherwise you'll be late."
佛,Fó,Buddha; Buddhism (abbr. for 陀),他去拜佛了。,He went to worship Buddha.
服,fú,"clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to be convinced (by an argument); to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes",我彻底服了。,I am completely convinced.
服务,fú wù,to serve; service,这家店的服务很好。,The service at this shop is very good.
服装,fú zhuāng,dress; clothing; costume; clothes,我喜欢这套服装。,I like this outfit.
符合,fú hé,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle,这符合要求吗？,Does it meet the requirements?
幅,fú,width; roll; classifier for textiles or pictures,我买了一幅画。,I bought a painting.
福,Fú,surname Fu; abbr. for Fujian province 省,我姓福。,My surname is Fu.
父母,fù mǔ,father and mother; parents,我的父母很爱我。,My parents love me very much.
父亲,fù qīn,father; also pr. [fù qin],我父亲是老师。,My father is a teacher.
付,Fù,surname Fu,我姓付。,My surname is Fu.
付出,fù chū,to pay; to expend; to invest (energy or time),他为你付出了很多。,He put in a lot for you.
妇女,fù nǚ,woman,这位妇女很善良。,This woman is very kind.
负,fù,to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc),答案是负数。,The answer is negative.
负担,fù dān,"to bear (an expense, a responsibility etc); burden",别增加我的负担。,Don't increase my burden.
负责,fù zé,to be in charge of; to take responsibility for; to be to blame; conscientious,谁负责这个？,Who is in charge of this?
负责人,fù zé rén,person in charge,负责人是谁？,Who is the person in charge?
附近,fù jìn,nearby; neighboring; (in the) vicinity (of); neighborhood,我家附近有个公园。,There is a park near my house.
复杂,fù zá,complicated; complex,这事很复杂。,This matter is very complicated.
副,fù,"secondary; auxiliary; deputy; assistant; vice-; abbr. for 副词 adverb; classifier for pairs, sets of things & facial expressions",他戴着一副眼镜。,He is wearing a pair of glasses.
富,Fù,surname Fu,我姓富。,My surname is Fu.
富有,fù yǒu,rich; wealthy; affluent; to be rich in; to be replete with,他很富有。,He is very wealthy.
夫妇,fū fù,a (married) couple; husband and wife,他们是一对夫妇。,They are a married couple.
夫妻,fū qī,husband and wife; married couple,他们是夫妻。,They are a married couple.
夫人,fū ren,lady; madam; Mrs.,这是我夫人。,This is my wife.
该,gāi,should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned,我该走了。,I should go now.
改,gǎi,to change; to alter; to transform; to correct,我想改名字。,I want to change my name.
改变,gǎi biàn,to change; to alter; to transform,我想改变生活。,I want to change my life.
改革开放,gǎi gé kāi fàng,to reform and open to the outside world; refers to Deng Xiaoping's policies from around 1980,改革开放让中国变好了。,Reform and opening up has made China better.
改善,gǎi shàn,to make better; to improve,我们要改善生活。,We need to improve our lives.
改造,gǎi zào,to transform; to reform; to remodel; to remold,我想改造我的房间。,I want to remodel my room.
盖,Gě,surname Ge,盖老师来了。,Teacher Ge is here.
概念,gài niàn,concept; idea,我不懂这个概念。,I don't understand this concept.
杆,gān,pole,旗杆很高。,The flagpole is very tall.
尴尬,gān gà,awkward; embarrassed,他有点尴尬。,He is a bit embarrassed.
赶,gǎn,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time),我赶着去上班。,I'm rushing to work.
赶到,gǎn dào,to hurry (to some place),我马上赶到。,I'll hurry over right away.
赶紧,gǎn jǐn,hurriedly; without delay,赶紧走吧！,Hurry up and go!
赶快,gǎn kuài,quickly; at once,赶快走吧！,Hurry up and go!
敢,gǎn,to dare; daring; (polite) may I venture,你敢试试吗？,Do you dare to try?
感,gǎn,to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~,我感觉很好。,I feel good.
感到,gǎn dào,to feel; to sense; to perceive,我感到很开心。,I feel very happy.
感动,gǎn dòng,to move (sb); to touch (sb emotionally); moving,他的故事让我感动。,His story moved me.
感激,gǎn jī,to be grateful; to appreciate; thankful,我很感激你。,I am very grateful to you.
感觉,gǎn jué,feeling; impression; sensation; to feel; to perceive,你感觉怎么样？,How do you feel?
感冒,gǎn mào,to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); (Tw) to detest; can't stand,我感冒了。,I caught a cold.
感情,gǎn qíng,emotion; sentiment; affection; feelings between two persons,我们的感情很好。,Our relationship is very good.
感染,gǎn rǎn,to infect; infection; (fig.) to influence,他感染了病毒。,He got infected with a virus.
感受,gǎn shòu,to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience,你的感受是什么？,What is your feeling?
感谢,gǎn xiè,(express) thanks; gratitude; grateful; thankful; thanks,非常感谢你。,Thank you very much.
干,gān,old variant of 干,今天不干了。,Not working today.
干净,gān jìng,clean; neat,房间很干净。,The room is very clean.
干什么,gàn shén me,what are you doing?; what's he up to?,你在干什么？,What are you doing?
刚,gāng,hard; firm; strong; just; barely; exactly,我刚到家。,I just got home.
刚才,gāng cái,just now; a moment ago,刚才我在吃饭。,I was eating just now.
刚刚,gāng gang,just recently; just a moment ago,我刚刚到家。,I just got home.
港,Gǎng,Hong Kong (abbr. for 港); surname Gang,我去港看朋友。,I go to Hong Kong to see my friend.
高,Gāo,surname Gao,我姓高。,My surname is Gao.
