Vocab,Pinyin,Meaning,Example,Example_Meaning
成熟,chéng shú,mature; ripe; to mature; to ripen; Taiwan pr. [chéng shóu],时机还不成熟，我们建议再等一段时间再做决定。,"The timing isn't quite ripe yet, so we suggest waiting a bit longer before making a decision."
成为,chéng wéi,to become; to turn into,经过几年的刻苦学习，她终于成为了一名优秀的医生。,"After several years of hard study, she finally became an excellent doctor."
成员,chéng yuán,member,作为团队的新成员，她很快适应了工作节奏并承担了重要任务。,"As a new team member, she quickly adapted to the work pace and took on important tasks."
成长,chéng zhǎng,to mature; to grow; growth,在大学四年里，他不仅在学业上取得了进步，也在生活中迅速成长。,"During his four years at university, he not only made progress in his studies but also matured quickly in life."
呈现,chéng xiàn,to appear; to emerge; to present (a certain appearance); to demonstrate,最新的数据显示，该地区的空气质量呈现出持续改善的趋势。,The latest data shows that the air quality in this region presents a continuous improvement trend.
承担,chéng dān,to undertake; to assume (responsibility etc),作为项目负责人，他必须承担所有决策带来的责任。,"As the project leader, he must assume responsibility for all decisions made."
承诺,chéng nuò,to promise; to undertake to do something; commitment,公司承诺在合同规定的时间内完成项目，绝不拖延。,The company promises to complete the project within the timeframe specified in the contract without any delay.
承认,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",经过反复思考，他终于承认了自己的错误，并向团队诚恳地道歉。,"After careful consideration, he finally admitted his mistake and sincerely apologized to the team."
承受,chéng shòu,to bear; to support; to inherit,面对巨大的工作压力，她不得不独自承受所有的责任。,"Facing immense work pressure, she had to bear all the responsibility alone."
城,chéng,city walls; city; town,这座城虽然不大，但生活节奏很慢，非常适合居住。,"Although this city is not large, its pace of life is slow, making it very suitable for living."
城市,chéng shì,city; town,周末我们打算去附近的城市逛逛，尝尝当地的美食。,"This weekend, we plan to visit a nearby city to stroll around and try the local food."
乘,Chéng,surname Cheng,乘先生是我们公司新聘请的项目经理。,Mr. Cheng is the project manager our company recently hired.
乘客,chéng kè,passenger,这位乘客在地铁到站后，匆忙下车时把手机落在了座位上。,This passenger accidentally left their phone on the seat when rushing off the subway after it arrived at the station.
程度,chéng dù,degree; level; extent,他对这个项目的了解程度已经很高了，几乎不需要我再做额外解释。,"His understanding of this project has reached a high degree, so he hardly needs any additional explanation from me."
程序,chéng xù,procedures; sequence; order; computer program,这个程序能自动整理电脑里的文件。,This program can automatically organize the files on your computer.
吃,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",我们每天中午都在公司食堂吃午饭。,to eat at (a cafeteria etc.)
吃饭,chī fàn,to have a meal; to eat; to make a living,我们每天下班后都会一起去附近的餐馆吃饭。,We go to a nearby restaurant together after work every day to have a meal.
迟到,chí dào,to arrive late,今天早上开会时，我因为堵车迟到了十分钟。,I was ten minutes late for the morning meeting because of traffic.
持,chí,to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control,为了保持健康，她始终坚持每天锻炼。,"To maintain her health, she has always persisted in exercising every day."
持续,chí xù,to continue; to persist; to last; sustainable; preservation,为了保持健康，医生建议他每天持续锻炼至少三十分钟。,"To stay healthy, the doctor advised him to exercise continuously for at least thirty minutes every day."
充分,chōng fèn,ample; sufficient; adequate; full; fully; to the full,为了这次重要的面试，他做了充分的准备。,He made ample preparation for this important interview.
充满,chōng mǎn,full of; brimming with; very full; permeated,春天一到，公园里就充满了孩子们的欢声笑语。,"As soon as spring arrives, the park is filled with the laughter and chatter of children."
冲,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,每天早上，他都会用热水冲一杯咖啡提神。,"Every morning, he uses hot water to brew a cup of coffee to stay awake."
冲动,chōng dòng,to have an urge; to be impetuous; impulse; urge,别一时冲动就做出决定，等冷静下来再考虑也不迟。,Don't make a decision on impulse; it's never too late to wait until you're calm and think it over.
冲突,chōng tū,conflict; to conflict; clash of opposing forces; collision (of interests); contention,由于工作日程冲突，我们不得不将原定的会议推迟到下周。,"Due to a scheduling conflict, we had to postpone the original meeting to next week."
抽,chōu,to draw out; to pull out from in between; to remove part of the whole; (of certain plants) to sprout or bud; to whip or thrash,他迅速从抽屉里抽出了一份重要的文件。,to pull out from in between / to draw out
丑,Chǒu,surname Chou,我的新同事姓丑，他是一位经验丰富的软件工程师。,"My new colleague's surname is Chou, and he is an experienced software engineer."
臭,chòu,stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition),这双袜子放了三天，现在臭得连我自己都受不了。,These socks have been sitting for three days; they smell so bad that I can't even stand them myself.
出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",请从抽屉里拿出那份重要的文件。,Please take out that important document from the drawer.
出版,chū bǎn,to publish,我的第一本小说明年将由一家知名出版社出版。,My first novel will be published by a well-known publishing house next year.
出发,chū fā,to set off; to start (on a journey),为了赶上早班飞机，我们决定凌晨五点准时出发。,"To catch the early flight, we decided to set off promptly at 5 a.m."
出口,chū kǒu,an exit; to speak; to export; (of a ship) to leave port,请问去火车站的出口应该走哪条通道？,exit (most common daily usage in this context)
出来,chū lái,to come out; to appear; to arise,随着项目的推进，一些新的问题也陆续出来了。,"As the project progressed, some new problems also gradually arose."
出门,chū mén,to go out; to leave home; to go on a journey; away from home; (of a woman) to get married,我每天早上七点出门，坐地铁去公司上班。,I leave home at 7 a.m. every morning and take the subway to work.
出去,chū qù,to go out,今天天气很好，我们出去散散步吧。,"The weather is nice today, let's go out for a walk."
出色,chū sè,remarkable; outstanding,她在项目中表现出色，因此被公司提拔为团队负责人。,She performed outstandingly on the project and was therefore promoted to team leader by the company.
出生,chū shēng,to be born,他出生在北京，現在住在上海。,He was born in Beijing and now lives in Shanghai.
出售,chū shòu,to sell; to offer for sale; to put on the market,开发商宣布这批新建的公寓将于下个月正式出售。,The developer announced that this batch of newly built apartments will be officially put on the market next month.
出席,chū xí,to attend; to participate; present,由于行程冲突，王教授无法出席明天的学术研讨会。,"Due to a schedule conflict, Professor Wang will be unable to attend tomorrow's academic seminar."
出现,chū xiàn,to appear; to arise; to emerge; to show up,最近几天，我的电脑屏幕上频繁出现错误提示。,"Over the past few days, error messages have been frequently appearing on my computer screen."
出于,chū yú,due to; to stem from,出于安全考虑，我们决定取消这次户外活动。,"Due to safety concerns, we decided to cancel this outdoor activity."
出租车,chū zū chē,taxi; (Tw) rental car,我们得赶紧叫一辆出租车去火车站，不然就赶不上列车了。,"We need to quickly hail a taxi to the train station, otherwise we’ll miss the train."
初,chū,at first; (at the) beginning; first; junior; basic,起初我对这个软件的操作不太熟悉，但经过几天的练习后，我已经能熟练使用了。,"At first I wasn't very familiar with how to use this software, but after a few days of practice, I can now use it proficiently."
除,chú,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including,除周末外，这家咖啡馆每天营业到晚上十点。,except / not including (used in the standard structure 除……外/之外 to indicate an exception)
除非,chú fēi,"only if (..., or otherwise, ...); only when; only in the case that; unless",除非下雨，否则我们明天照常去爬山。,"Unless it rains, we will go hiking as planned tomorrow."
除了,chú le,besides; apart from (... also...); in addition to; except (for),除了每天练习口语，她还在周末学习烹饪。,"Besides practicing spoken Chinese every day, she also learns to cook on weekends."
厨房,chú fáng,kitchen,我每天早上都会在厨房煮咖啡。,I make coffee in the kitchen every morning.
处,chǔ,to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish,他性格随和，很容易与人相处。,He has an easygoing personality and gets along well with others.
处理,chǔ lǐ,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices,面对复杂的客户投诉，客服团队必须迅速、妥善地处理。,handle; deal with
处于,chǔ yú,"to be in (some state, position, or condition)",公司目前处于扩张阶段，计划明年在亚洲开设新分公司。,The company is currently in an expansion phase and plans to open new branches in Asia next year.
穿,chuān,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,明天天气很冷，记得穿厚外套。,"The weather will be very cold tomorrow, so remember to wear a thick coat."
穿着,chuān zhuó,attire; clothes; dress,在正式场合，得体的穿着能给人留下专业且自信的印象。,"In formal settings, appropriate attire can leave a professional and confident impression on others."
传,chuán,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity),他把这个好消息传遍了整个办公室。,chuán
传播,chuán bō,to disseminate; to propagate; to spread,他希望通过短视频向大众传播中国传统文化。,He hopes to spread traditional Chinese culture to the public through short videos.
传奇,chuán qí,legendary; fantasy saga; romance; short stories of the Tang and Song Dynasty,这部电影讲述了一段跨越百年的传奇故事，情节跌宕起伏，深受观众喜爱。,"This film tells a legendary story spanning a century, featuring a gripping plot that has deeply captivated audiences."
传说,chuán shuō,legend; folk tale; to repeat from mouth to mouth; they say that...,传说这座古庙建于唐朝，但具体年代已无从考证。,"Legend has it that this ancient temple was built during the Tang Dynasty, but its exact date cannot be verified."
传统,chuán tǒng,tradition; traditional; convention; conventional,我们家族有一个传统，每逢春节全家人都会聚在一起包饺子。,Our family has a tradition of getting together to make dumplings during the Spring Festival.
船,chuán,variant of 船,明天我们要坐船去对岸的古镇参观，记得提前买好票。,"Tomorrow we need to take a boat to visit the ancient town on the opposite shore, so remember to buy tickets in advance."
床,chuáng,bed; couch; classifier for beds,我昨晚在这张床上睡得很好，因为新换的床垫特别舒服。,I slept very well on this bed last night because the newly changed mattress is especially comfortable.
创,chuàng,variant of 创,为了追求个人发展，他毅然辞职创业，成功打造了一家专注于人工智能的科技公司。,"To pursue his personal development, he resigned to start his own business and successfully founded a tech company focused on artificial intelligence."
创意,chuàng yì,creative; creativity,这个项目的成功离不开团队出色的创意和高效的执行力。,The success of this project relies on the team's outstanding creativity and efficient execution.
创造,chuàng zào,to create; to bring about; to produce; to set (a record),这项新技术不仅提高了工作效率，还为当地创造了大量就业机会。,This new technology not only improved work efficiency but also created numerous job opportunities for the local area.
创作,chuàng zuò,to create; to produce; to write; creative work; creation,她花了三年时间创作了一部长篇小说，并最终在文学杂志上发表。,She spent three years creating a long novel and eventually published it in a literary magazine.
吹,chuī,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through,今天风很大，吹得桌上的文件四处散落。,to blow (wind/air)
纯,chún,pure; simple; unmixed; genuine,这件衬衫是纯棉的，透气又舒适。,This shirt is made of pure cotton; it's breathable and comfortable to wear.
词,cí,old variant of 词,学习汉语时，掌握每个词的准确含义和搭配用法非常重要。,"When learning Chinese, it is very important to grasp the precise meaning and collocation usage of each word."
慈善,cí shàn,benevolent; charitable,这家慈善机构多年来一直为贫困地区的儿童提供免费的医疗和教育援助。,This charitable organization has provided free medical and educational aid to children in impoverished areas for many years.
辞职,cí zhí,to resign,他因为工作压力太大，决定向公司提出辞职。,He decided to resign from his job due to excessive work pressure.
此,cǐ,this; these,此报告详细分析了当前市场趋势，可供团队参考。,This report provides a detailed analysis of current market trends and can serve as a reference for the team.
此时,cǐ shí,now; this moment,此时我正好在图书馆，需要我帮你查资料吗？,I happen to be in the library right now; would you like me to help you look up some information?
此外,cǐ wài,besides; in addition; moreover; furthermore,我打算周末去图书馆复习功课，此外，还要顺便去超市买点日用品。,"I plan to go to the library to review my lessons this weekend; in addition, I also need to stop by the supermarket to buy some daily necessities."
次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",这是我第三次来北京出差，每次都能学到新东西。,This is my third business trip to Beijing; I learn something new every time.
刺,cī,(onom.) whoosh,一阵冷风从门缝里“刺”地灌进来，吹得窗帘直飘。,(onom.) whoosh
刺激,cì jī,to provoke; to irritate; to upset; to stimulate; to excite; irritant,为了刺激消费，商场推出了各种优惠活动。,"To stimulate consumer spending, the mall launched various promotional activities."
聪明,cōng ming,intelligent; clever; bright; smart; acute (of sight and hearing),她是个很聪明的学生，总能很快掌握新知识。,She is a very smart student who always grasps new material quickly.
从,cóng,variant of 从,我从图书馆借了这本中文教材。,I borrowed this Chinese textbook from the library.
从此,cóng cǐ,from now on; since then; henceforth,那次生病让他彻底改变了生活方式，从此他开始注重健康饮食和规律作息。,"That illness made him completely change his lifestyle; from then on, he began focusing on healthy eating and a regular daily routine."
从来,cóng lái,always; at all times; never (if used in negative sentence),我从来都不吃辣。,I never eat spicy food.
从事,cóng shì,to go for; to engage in; to undertake; to deal with; to handle; to do,她大学毕业后一直从事医学研究工作，目前专注于心血管疾病的治疗。,"She has been engaged in medical research since graduating from university, and currently focuses on the treatment of cardiovascular diseases."
从未,cóng wèi,never,我从未去过日本，但一直想去看看。,"I have never been to Japan, but I've always wanted to visit."
村,cūn,village,我们村每年秋天都会举办丰收节。,Our village holds a harvest festival every autumn.
存,cún,to exist; to deposit; to store; to keep; to survive,我每个月都会把一部分工资存进银行，以备不时之需。,deposit
存在,cún zài,to exist; to be; existence,尽管现在外卖很方便，但自己做饭的需求依然存在。,"Although food delivery is very convenient now, the demand for cooking at home still exists."
措施,cuò shī,measure; step,为了改善空气质量，市政府采取了一系列环保措施。,"To improve air quality, the city government has implemented a series of environmental measures."
错,Cuò,surname Cuo,错先生是我们公司新聘请的财务顾问，他的专业能力备受团队认可。,"Mr. Cuo is the new financial advisor hired by our company, and his professional expertise has been highly regarded by the team."
错过,cuò guò,"to miss (train, opportunity etc)",我因为闹钟没响，错过了早班地铁。,I missed the morning subway because my alarm didn't go off.
错误,cuò wù,mistaken; false; wrong; error; mistake,我在核对数据时发现了一个错误，已经及时修正了。,I found an error while checking the data and corrected it promptly.
搭,dā,"to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train); variant of 褡",为了赶时间，他决定搭出租车去机场。,to take (a vehicle) / to catch a ride
达成,dá chéng,to reach (an agreement); to accomplish,经过三轮谈判，双方终于就合作细节达成了协议。,"After three rounds of negotiations, both parties finally reached an agreement on the cooperation details."
达到,dá dào,to reach; to achieve; to attain,经过半年的刻苦练习，他的汉语水平终于达到了日常交流的标准。,"After six months of intensive practice, his Chinese level finally reached the standard for daily conversation."
答,dā,"bound form having the same meaning as the free word 答, used in 答应, 理 etc",他犹豫了很久，最后终于答应帮我搬家了。,"He hesitated for a long time, but finally agreed to help me move."
答案,dá àn,answer; solution,老师把这道题的正确答案写在黑板上了。,The teacher wrote the correct answer to this problem on the blackboard.
答应,dā ying,to answer; to respond; to answer positively; to agree; to accept; to promise,他答应下周帮我修改简历，我真的很感谢。,"He promised to help me revise my resume next week, and I'm really grateful."
打,dá,dozen (loanword),我去超市买了一打鸡蛋。,I went to the supermarket and bought a dozen eggs.
打电话,dǎ diàn huà,to make a telephone call,我明天早上八点给你打电话确认会议时间。,I will call you at 8 AM tomorrow to confirm the meeting time.
打击,dǎ jī,to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music),这次考试的失利对他来说是一个沉重的打击。,(psychological) shock / blow
打开,dǎ kāi,to open; to show (a ticket); to turn on; to switch on,晚上回家太累了，我连灯都忘了打开。,I was so tired when I got home tonight that I even forgot to turn on the light.
打破,dǎ pò,to break; to smash,我不小心把花瓶打破了。,I accidentally broke the vase.
打算,dǎ suàn,to plan; to intend; to calculate; plan; intention; calculation,我打算下个月去上海出差，所以需要提前预订机票和酒店。,"I plan to go to Shanghai for a business trip next month, so I need to book my flight and hotel in advance."
大,dà,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),我们刚租了一套很大的公寓，离公司只有十分钟的路程。,big/large (primary definition used in context)
大部分,dà bù fen,in large part; the greater part; the majority,这次调查的大部分参与者都支持这项新政策。,The majority of participants in this survey support the new policy.
大大,dà dà,greatly; enormously; (dialect) dad; uncle,这项新技术大大改善了我们的工作效率。,This new technology has greatly improved our work efficiency.
大道,dà dào,main street; avenue,沿着人民大道一直往前走，就能看到市中心的广场。,"Walking straight along Renmin Avenue, you'll see the square in the city center."
大多数,dà duō shù,(great) majority,大多数人都认为健康比财富更重要。,The majority of people believe that health is more important than wealth.
大概,dà gài,roughly; probably; rough; approximate; about; general idea,从你家到公司大概需要二十分钟。,roughly/approximately
大哥,dà gē,eldest brother; big brother (polite address for a man of about the same age as oneself); gang leader; boss,大哥，请问去最近的地铁站怎么走？,"Brother, could you tell me how to get to the nearest subway station?"
大会,dà huì,general assembly; general meeting; convention,公司每年都要召开一次全体员工大会，总结年度工作并规划新一年的发展目标。,The company holds an annual general meeting for all employees to summarize yearly work and plan development goals for the new year.
大家,dà jiā,everyone; influential family; great expert,谢谢大家今天的帮助！,Thank you all for your help today!
大街,dà jiē,street; main street,周末的时候，我们喜欢去市中心的大街上散步和购物。,"On weekends, we like to take a walk and do some shopping on the main street in the city center."
大量,dà liàng,great amount; large quantity; bulk; numerous; generous; magnanimous,为了应对市场需求，工厂每天生产大量电子产品。,"To meet market demand, the factory produces a large quantity of electronic products daily."
大楼,dà lóu,"building (a relatively large, multistory one)",我们公司搬进了市中心那座新建的大楼，一共有四十五层。,"Our company moved into the newly built large building in the city center, which has forty-five floors."
大陆,Dà lù,mainland China (reference to the PRC),许多台湾年轻人毕业后都选择到大陆工作发展。,Many young people from Taiwan choose to go to the mainland for work and career development after graduation.
大门,Dà mén,"the Doors, US rock band",请在大门处出示您的通行证，工作人员会为您登记。,"Please show your access pass at the main gate, and the staff will register you."
大脑,dà nǎo,brain; cerebrum,每天保证充足的睡眠对维持大脑健康非常重要。,Getting enough sleep every day is very important for maintaining brain health.
大人,dà ren,adult; grownup; title of respect toward superiors,孩子们可以去公园玩，但过马路时必须有大人在旁边陪同。,"The children can go play in the park, but they must have an adult accompanying them when crossing the street."
大赛,dà sài,grand contest,这个国际设计大赛吸引了来自世界各地的参赛者。,This grand design contest attracted participants from around the world.
大声,dà shēng,loud voice; in a loud voice; loudly,因为教室后面太吵了，他不得不大声说话才能被听见。,"Because the back of the classroom was too noisy, he had to speak loudly in order to be heard."
大师,dà shī,great master; master,这位书法大师的作品以其精湛的技艺和独特的风格闻名于世。,The works of this calligraphy master are famous worldwide for their exquisite skill and unique style.
大事,dà shì,major event; major political event (war or change of regime); major social event (wedding or funeral); (do sth) in a big way,结婚是人生中的一件大事，需要双方家庭共同商量和精心准备。,Marriage is a major life event that requires both families to discuss and prepare carefully together.
大厅,dà tīng,hall; lounge,我们在酒店大厅等朋友，顺便喝了杯咖啡。,"We're waiting for friends in the hotel lobby, and had a cup of coffee while we waited."
大小,dà xiǎo,dimension; magnitude; size; measurement; large and small; at any rate; adults and children; consideration of seniority,买鞋子时，一定要先试穿一下，确保大小合适再付款。,size/dimension (physical measurement or fit)
大型,dà xíng,large; large-scale,这座城市即将举办一场大型国际音乐节，预计将吸引数十万游客。,"The city is about to host a large international music festival, which is expected to attract hundreds of thousands of visitors."
大学,Dà xué,"the Great Learning, one of the Four Books 四书 in Confucianism",在国学选修课上，我们重点研读了《大学》，探讨其中“修身齐家治国平天下”的儒家理想。,"In our Chinese classics elective course, we focused on studying *The Great Learning*, exploring its Confucian ideal of 'cultivating oneself, regulating the family, governing the state, and bringing peace to the world.'"
大约,dà yuē,approximately; probably,从火车站到酒店大约需要二十分钟的车程。,approximately
大众,Dà zhòng,Volkswagen (automobile manufacturer),我最近买了一辆大众，日常通勤非常省油，而且空间也很宽敞。,I recently bought a Volkswagen; it's very fuel-efficient for daily commuting and has plenty of space.
呆,dāi,foolish; stupid; expressionless; blank; to stay,听到这个突如其来的消息，他呆呆地站在原地，半天说不出话来。,"Hearing the sudden news, he stood there blankly, unable to say a word for a long time."
逮捕,dài bǔ,to arrest; to apprehend; an arrest,警方昨天成功逮捕了一名涉嫌盗窃的嫌疑人。,"Yesterday, the police successfully arrested a suspect suspected of theft."
代,dài,to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon,如果你今天不能来，我可以代你参加会议。,"If you can't make it today, I can attend the meeting on your behalf."
代表,dài biǎo,representative; delegate; to represent; to stand for; on behalf of; in the name of,我谨代表公司，向所有支持我们的客户表示感谢。,"On behalf of the company, I would like to express our gratitude to all customers who have supported us."
代价,dài jià,price; cost; consideration (in share dealing),忽视健康最终会让你付出沉重的代价。,Ignoring your health will eventually make you pay a heavy price.
代理,dài lǐ,to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate; (computing) proxy,由于总经理出差，李经理暂时代理公司日常管理工作。,"Since the general manager is on a business trip, Manager Li is temporarily acting as the company's daily operations manager."
带,dài,band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise,出门的时候记得带上你的护照和钱包。,Remember to bring your passport and wallet when you head out.
带来,dài lái,to bring; (fig.) to bring about; to produce,这项新技术的普及给我们的生活带来了极大的便利。,The widespread adoption of this new technology has brought great convenience to our lives.
待,dāi,to stay,我打算明天在上海待两天，顺便看看朋友。,I plan to stay in Shanghai for two days tomorrow and drop by to see a friend.
贷款,dài kuǎn,a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank),为了购买新房，我们向银行申请了一笔贷款。,"To buy a new house, we applied for a loan from the bank."
袋,dài,pouch; bag; sack; pocket,超市结账时，店员问我要不要一个塑料袋。,"When checking out at the supermarket, the clerk asked if I wanted a plastic bag."
戴,Dài,surname Dai,戴先生是我们班的新班主任。,Mr. Dai is our new homeroom teacher.
单,Shàn,surname Shan,单老师是我们班新来的汉语教师。,Teacher Shan is our new Chinese teacher.
单独,dān dú,alone; by oneself; on one's own,周末的时候，我喜欢单独去附近的咖啡馆看书。,"On weekends, I like to go to a nearby café alone to read."
单身,dān shēn,unmarried; single,他今年三十五岁了，但至今仍然单身。,"He is thirty-five years old, but he is still single."
单位,dān wèi,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)",我现在的单位在市中心，每天通勤只要二十分钟。,"(Illustrates the ""work unit/place of employment"" definition, which is the most common modern usage.)"
担心,dān xīn,anxious; worried; uneasy; to worry; to be anxious,妈妈总是担心我在外面吃不好，经常给我寄家乡菜。,"Mom always worries that I won't eat well on my own, so she often sends me homemade food from home."
但,dàn,but; yet; however; still; merely; only; just,我很喜欢这份工作，但薪水不太理想。,"I really like this job, but the salary isn't very ideal."
但是,dàn shì,but; however,我想去爬山，但是今天下雨了。,"I wanted to go hiking, but it's raining today."
弹,dàn,crossball; bullet; shot; shell; ball,士兵迅速装填了最后一颗子弹。,The soldier quickly loaded the last bullet.
蛋,Dàn,variant of 蜑,每天早晨喝一杯牛奶配一个水煮蛋，是许多中国人健康的早餐习惯。,Drinking milk with a boiled egg every morning is a healthy breakfast habit for many Chinese people.
蛋糕,dàn gāo,cake,我昨天在超市买了一个草莓蛋糕，全家人都很喜欢。,"I bought a strawberry cake at the supermarket yesterday, and my whole family really liked it."
当,dāng,(onom.) dong; ding dong (bell),当你听到上课铃声时，请立刻回到教室。,"When you hear the class bell, please return to the classroom immediately."
当成,dàng chéng,to consider as; to take to be,他总把朋友的建议当成批评，所以很少采纳别人的意见。,"He always takes his friends' advice as criticism, so he rarely accepts others' opinions."
当初,dāng chū,at that time; originally,当初决定来中国留学的时候，我以为生活一定会很轻松。,"Originally, when I decided to study abroad in China, I thought life would definitely be very easy."
当地,dāng dì,local,我们打算在当地租一间公寓，这样生活起来会更方便。,We plan to rent an apartment locally so that daily life will be more convenient.
当年,dāng nián,in those days; then; in those years; during that time,当年我们住在这里的时候，周围全是农田，现在却变成了高楼大厦。,"Back when we lived here, the surroundings were all farmland, but now they've turned into high-rise buildings."
当然,dāng rán,only natural; as it should be; certainly; of course; without doubt,作为你的好朋友，我当然会支持你的决定。,"As your good friend, of course I will support your decision."
当时,dāng shí,then; at that time; while,当时下雨了，我们只好在咖啡馆里等雨停。,"It was raining at that time, so we had to wait in the café until it stopped."
当事人,dāng shì rén,persons involved or implicated; party (to an affair),作为纠纷的当事人，双方都同意通过调解来解决争议。,"As the parties directly involved in the dispute, both sides agreed to resolve the conflict through mediation."
当天,dāng tiān,on that day,我昨天订的机票，我们当天就出发了。,"I booked the flight yesterday, and we departed on that day."
当中,dāng zhōng,among; in the middle; in the center,在拥挤的地铁站里，他一眼就认出了站在人群当中的朋友。,"In the crowded subway station, he immediately recognized his friend standing in the middle of the crowd."
当作,dàng zuò,to treat as; to regard as,我把这次失败当作一次宝贵的学习机会。,I treat this failure as a valuable learning opportunity.
挡,dǎng,to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car's transmission),那辆违停的汽车挡住了消防通道，必须马上移走。,That illegally parked car is blocking the fire lane and must be moved immediately.
党,Dǎng,surname Dang,我的新邻居姓党，他是一位非常友善的医生。,"My new neighbor's surname is Dang, and he is a very friendly doctor."
档,dǎng,"(Tw) variant of 挡, gear",这辆车的五档非常省油，适合长途驾驶。,The fifth gear of this car is very fuel-efficient and suitable for long-distance driving.
档案,dàng àn,file; record; archive,公司会妥善保管每位员工的个人档案，包括合同、考勤和绩效记录。,"The company securely keeps each employee's personnel file, including contracts, attendance records, and performance evaluations."
刀,Dāo,surname Dao,刀先生是我们学校新聘的书法老师。,Mr. Dao is the newly hired calligraphy teacher at our school.
导弹,dǎo dàn,(guided) missile,这枚新型导弹在今天的试射中成功击中了数百公里外的目标。,This new type of missile successfully hit a target hundreds of kilometers away during today's test launch.
导演,dǎo yǎn,to direct; director (film etc),这位导演凭借这部新电影获得了国际大奖。,This director won an international award for this new film.
导致,dǎo zhì,to lead to; to create; to cause; to bring about,缺乏有效沟通往往会导致团队内部产生误解。,Lack of effective communication often leads to misunderstandings within the team.
岛,dǎo,variant of 岛,这座岛离大陆很远，必须坐船才能到达。,This island is far from the mainland and can only be reached by boat.
到,dào,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,我明天下午三点到机场接你。,I will arrive at the airport at 3 PM tomorrow to pick you up.
到处,dào chù,everywhere,他刚搬来这座城市，到处都在打听租房的信息。,He just moved to this city and has been asking around everywhere for information on renting an apartment.
到达,dào dá,to reach; to arrive,我们的列车将在下午两点准时到达上海站。,Our train will arrive at Shanghai Station on time at 2 p.m.
到底,dào dǐ,finally; in the end; when all is said and done; after all; to the end; to the last,我们试了好几种方法，**到底**还是找到了解决问题的办法。,"We tried several different methods, but **in the end**, we found a solution to the problem."
到来,dào lái,to arrive; arrival; advent,随着旅游旺季的到来，这家酒店的预订量已经翻了一番。,"With the arrival of the peak tourist season, this hotel's booking volume has doubled."
倒,dǎo,to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit,那家小公司因为资金链断裂，最终倒了。,go bankrupt / collapse (dǎo)
道,dào,"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)",沿着这条道一直走，在第二个路口左转就能看到地铁站。,road/path (道路)
道德,dào dé,virtue; morality; ethics,在现代社会中，遵守基本的道德规范是每个人应尽的责任。,"In modern society, adhering to basic moral standards is a responsibility everyone should fulfill."
道理,dào li,reason; argument; sense; principle; basis; justification,老师耐心地给我们讲解了这道题背后的道理，大家终于都明白了。,"The teacher patiently explained the reasoning behind this problem to us, and everyone finally understood."
道路,dào lù,road; path; way,这条新修建的道路大大缩短了市区到机场的通行时间。,The newly built road has greatly shortened the travel time between the city center and the airport.
道歉,dào qiàn,to apologize,他因为不小心弄坏了同学的电脑，立刻向他诚恳地道歉。,He immediately apologized to his classmate for accidentally breaking his computer.
