Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
幅,fú,width,我买了一幅画。,I bought a painting.,"<img src=""width.jpg"" />"
父母,fù mǔ,father and mother; parents,我的父母很爱我。,My parents love me very much.,
父亲,fù qīn,father,我父亲是老师。,My father is a teacher.,
付出,fù chū,to pay; to expend; to invest (energy or time),他为你付出了很多。,He put in a lot for you.,"<img src=""invest.jpg"" />"
妇女,fù nǚ,woman,这位妇女很善良。,This woman is very kind.,
负,fù,to bear,答案是负数。,The answer is negative.,
负担,fù dān,"to bear (an expense, a responsibility etc)",别增加我的负担。,Don't increase my burden.,"<img src=""responsibility.jpg"" />"
负责,fù zé,to be responsible for; to be in charge of; to bear responsibility for,谁负责这个？,Who is in charge of this?,"<img src=""charge.jpg"" />"
负责人,fù zé rén,person in charge,负责人是谁？,Who is the person in charge?,
附近,fù jìn,nearby; neighboring,我家附近有个公园。,There is a park near my house.,
复杂,fù zá,complicated; complex,这事很复杂。,This matter is very complicated.,"<img src=""complex.jpg"" />"
副,fù,secondary,他戴着一副眼镜。,He is wearing a pair of glasses.,
富有,fù yǒu,rich; wealthy; affluent,他很富有。,He is very wealthy.,"<img src=""affluent.jpg"" />"
夫妇,fū fù,a (married) couple,他们是一对夫妇。,They are a married couple.,"<img src=""couple.jpg"" />"
夫妻,fū qī,husband and wife; married couple,他们是夫妻。,They are a married couple.,
夫人,fū ren,lady,这是我夫人。,This is my wife.,
该,gāi,should,我该走了。,I should go now.,
改,gǎi,to change,我想改名字。,I want to change my name.,
改变,gǎi biàn,to change,我想改变生活。,I want to change my life.,
改革开放,gǎi gé kāi fàng,reform and opening up (Chinese policy introduced in 1978),改革开放让中国变好了。,Reform and opening up has made China better.,"<img src=""policy.jpg"" />"
改善,gǎi shàn,to make better; to improve,我们要改善生活。,We need to improve our lives.,"<img src=""improve.jpg"" />"
改造,gǎi zào,to transform,我想改造我的房间。,I want to remodel my room.,"<img src=""transform.jpg"" />"
概念,gài niàn,concept,我不懂这个概念。,I don't understand this concept.,"<img src=""concept.jpg"" />"
杆,gān,(bound form) pole; shaft,旗杆很高。,The flagpole is very tall.,"<img src=""shaft.jpg"" />"
尴尬,gān gà,awkward; embarrassed,他有点尴尬。,He is a bit embarrassed.,"<img src=""awkward.jpg"" />"
赶,gǎn,to overtake; to catch up with,我赶着去上班。,I'm rushing to work.,"<img src=""catch.jpg"" />"
赶到,gǎn dào,to hurry (to some place),我马上赶到。,I'll hurry over right away.,"<img src=""hurry.jpg"" />"
赶紧,gǎn jǐn,hurriedly,赶紧走吧！,Hurry up and go!,
赶快,gǎn kuài,quickly; at once,赶快走吧！,Hurry up and go!,
敢,gǎn,to dare,你敢试试吗？,Do you dare to try?,"<img src=""dare.jpg"" />"
感,gǎn,to feel,我感觉很好。,I feel good.,
感到,gǎn dào,to feel; to sense; to perceive,我感到很开心。,I feel very happy.,"<img src=""perceive.jpg"" />"
感动,gǎn dòng,to move (sb),他的故事让我感动。,His story moved me.,
感激,gǎn jī,to be grateful,我很感激你。,I am very grateful to you.,"<img src=""grateful.jpg"" />"
感觉,gǎn jué,feeling; impression; sensation,你感觉怎么样？,How do you feel?,"<img src=""impression.jpg"" />"
感冒,gǎn mào,to catch cold,我感冒了。,I caught a cold.,
感情,gǎn qíng,emotion; sentiment,我们的感情很好。,Our relationship is very good.,"<img src=""emotion.jpg"" />"
感染,gǎn rǎn,to infect; infection,他感染了病毒。,He got infected with a virus.,"<img src=""infect.jpg"" />"
感受,gǎn shòu,to sense,你的感受是什么？,What is your feeling?,"<img src=""sense.jpg"" />"
感谢,gǎn xiè,to thank; to be grateful,非常感谢你。,Thank you very much.,
干,gān,old variant of 乾|干[gan1],今天不干了。,Not working today.,
干净,gān jìng,clean,房间很干净。,The room is very clean.,"<img src=""clean.jpg"" />"
干什么,gàn shén me,what are you doing?,你在干什么？,What are you doing?,
刚,gāng,(literary) hard; firm; strong,我刚到家。,I just got home.,"<img src=""literary.jpg"" />"
刚才,gāng cái,just now,刚才我在吃饭。,I was eating just now.,
刚刚,gāng gang,just recently,我刚刚到家。,I just got home.,
港,Gǎng,Hong Kong (abbr. for 香港[Xiang1 gang3]),我去港看朋友。,I go to Hong Kong to see my friend.,
高度,gāo dù,height,这座山的高度是多少？,What is the height of this mountain?,
高级,gāo jí,high level,这台电脑很高级。,This computer is very advanced.,"<img src=""level.jpg"" />"
高手,gāo shǒu,expert,他是下棋高手。,He is a chess expert.,"<img src=""expert.jpg"" />"
高速,gāo sù,high speed,我们走高速去。,We will take the expressway.,"<img src=""speed.jpg"" />"
高兴,gāo xìng,happy,我今天很高兴。,I am very happy today.,
高中,gāo zhōng,senior high school (abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2]),我在读高中。,I am in high school.,"<img src=""school.jpg"" />"
搞,gǎo,to do,我搞定了。,I've got it done.,
告,gào,(bound form) to say; to tell,请告诉我。,Please tell me.,
告诉,gào sù,to press charges; to file a complaint,请告诉我。,Please tell me.,"<img src=""complaint.jpg"" />"
哥,gē,elder brother,我哥在家。,My elder brother is at home.,
哥哥,gē ge,older brother,我哥哥很好。,My older brother is very nice.,
歌,gē,"song (CL:首[shou3],支[zhi1])",我喜欢这首歌。,I like this song.,
歌曲,gē qǔ,song,我喜欢这首歌曲。,I like this song.,
歌手,gē shǒu,singer,我想当歌手。,I want to be a singer.,
革命,gé mìng,to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning),他想搞场革命。,He wants to start a revolution.,"<img src=""transition.jpg"" />"
格,gé,used in 格登[ge1 deng1],这张纸有格子吗？,Does this paper have a grid?,
隔,gé,to separate,我们隔着一张桌子。,There is a table between us.,
个,gě,used in 自個兒|自个儿[zi4 ge3 r5],他喜欢自个儿玩。,He likes to play by himself.,
个人,gè rén,an individual; oneself; (attributive) personal; one's own,这是个人的事。,It is a personal matter.,"<img src=""individual.jpg"" />"
个性,gè xìng,individuality,她很有个性。,She has a lot of personality.,
各,gè,each,各人一份。,One for each person.,
各地,gè dì,in all parts of (a country),各地都有美食。,Good food is available everywhere.,"<img src=""country.jpg"" />"
各个,gè gè,every,各个房间都很干净。,Every room is very clean.,
各位,gè wèi,everybody,各位请坐。,"Everyone, please sit down.",
各种,gè zhǒng,every kind of; all kinds of; various,我喜欢各种水果。,I like all kinds of fruit.,"<img src=""various.jpg"" />"
各自,gè zì,each,我们各自回家。,We each go home.,
给,gěi,to,我给你一本书。,I'll give you a book.,
给予,jǐ yǔ,(literary) to give; to accord; to render,他给予我帮助。,He gives me help.,"<img src=""render.jpg"" />"
根,gēn,root,给我一根绳子。,Give me a rope.,
根本,gēn běn,fundamental,我根本不知道。,I don't know at all.,"<img src=""fundamental.jpg"" />"
根据,gēn jù,according to,根据天气，带伞吧。,"According to the weather, bring an umbrella.",
跟,gēn,heel,你跟我走。,Come with me.,
跟踪,gēn zōng,to follow sb's tracks,他在跟踪我。,He is following me.,
更,gēng,to change or replace,都三更了，睡吧。,"It's past midnight, go to sleep.","<img src=""replace.jpg"" />"
更加,gèng jiā,more (than sth else),我更加喜欢它了。,I like it even more now.,
工厂,gōng chǎng,factory,我在工厂工作。,I work at a factory.,
工程,gōng chéng,engineering,我们在做新工程。,We are working on a new project.,
工具,gōng jù,tool,这是个好工具。,This is a good tool.,"<img src=""tool.jpg"" />"
工人,gōng rén,worker,我爸爸是工人。,My dad is a worker.,
工业,gōng yè,industry,中国工业很强。,China's industry is very strong.,"<img src=""industry.jpg"" />"
工资,gōng zī,wages; pay,你工资多少？,How much is your salary?,
工作,gōng zuò,to work,我明天去工作。,I will go to work tomorrow.,
公,gōng,public,他做事很公平。,He is very fair.,
公共,gōng gòng,public; common; communal,这是公共汽车。,This is a bus.,"<img src=""communal.jpg"" />"
公开,gōng kāi,open; overt; public,结果已公开。,The results are public.,
公里,gōng lǐ,kilometer,学校离我家三公里。,The school is three kilometers from my home.,"<img src=""kilometer.jpg"" />"
公路,gōng lù,highway,我们走公路吧。,Let's take the highway.,
公民,gōng mín,citizen,我是中国公民。,I am a Chinese citizen.,"<img src=""citizen.jpg"" />"
公平,gōng píng,fair,这很公平。,This is fair.,"<img src=""fair.jpg"" />"
公司,gōng sī,company; firm; corporation,我在公司上班。,I work at a company.,"<img src=""firm.jpg"" />"
公寓,gōng yù,apartment building; block of flats (may be a public housing block or a condominium etc) (CL:套[tao4]),我住在公寓里。,I live in an apartment.,"<img src=""apartment.jpg"" />"
公园,gōng yuán,park (for public recreation),我们去公园吧。,Let's go to the park.,
公正,gōng zhèng,just; fair; equitable,法官很公正。,The judge is very fair.,
公众,gōng zhòng,public,这是给公众看的。,This is for the public to see.,
公主,gōng zhǔ,princess,我想当公主。,I want to be a princess.,
功夫,gōng fu,skill,他花了不少功夫。,He put in a lot of effort.,"<img src=""skill.jpg"" />"
功能,gōng néng,function; capability,这个功能很好用。,This function is very easy to use.,"<img src=""function.jpg"" />"
攻击,gōng jī,to attack,别在网上乱攻击。,Don't attack randomly online.,"<img src=""attack.jpg"" />"
供,gōng,to provide; to supply,公司供午餐。,The company provides lunch.,"<img src=""provide.jpg"" />"
供应,gōng yìng,"to supply; to provide (goods, services etc)",我们供应热水。,We provide hot water.,"<img src=""supply.jpg"" />"
恭喜,gōng xǐ,to congratulate,恭喜你考上大学！,Congratulations on getting into university!,"<img src=""congratulate.jpg"" />"
共,gòng,common,费用共两百元。,The total cost is two hundred yuan.,"<img src=""common.jpg"" />"
共同,gòng tóng,common,让我们共同努力吧。,Let's work together.,
贡献,gòng xiàn,to contribute,他为社会做贡献。,He contributes to society.,"<img src=""contribute.jpg"" />"
沟通,gōu tōng,to join; to connect; to link up,我们需要多沟通。,We need to communicate more.,"<img src=""connect.jpg"" />"
狗,gǒu,dog,我喜欢狗。,I like dogs.,"<img src=""dog.jpg"" />"
购买,gòu mǎi,to purchase; to buy,我想购买这本书。,I want to buy this book.,
购物,gòu wù,shopping,我喜欢购物。,I like shopping.,
够,gòu,enough (sufficient),钱够了吗？,Is there enough money?,"<img src=""sufficient.jpg"" />"
估计,gū jì,to estimate; to assess; to calculate,我估计他明天到。,I guess he'll arrive tomorrow.,"<img src=""calculate.jpg"" />"
姑娘,gū niang,girl,那位姑娘很漂亮。,That girl is very pretty.,
孤单,gū dān,lone,我一个人很孤单。,I feel lonely by myself.,"<img src=""lone.jpg"" />"
孤独,gū dú,lonely,我很孤独。,I am lonely.,
股,gǔ,thigh,我闻到一股香味。,I can smell a whiff of fragrance.,"<img src=""thigh.jpg"" />"
股票,gǔ piào,share certificate,我想买股票。,I want to buy stocks.,"<img src=""certificate.jpg"" />"
鼓励,gǔ lì,to encourage,老师鼓励我。,My teacher encourages me.,"<img src=""encourage.jpg"" />"
固定,gù dìng,to fix,价格固定吗？,Is the price fixed?,"<img src=""fix.jpg"" />"
故事,gù shì,old practice,我喜欢听故事。,I like listening to stories.,"<img src=""practice.jpg"" />"
故意,gù yì,deliberately; on purpose,他不是故意的。,He didn't do it on purpose.,"<img src=""purpose.jpg"" />"
顾客,gù kè,customer; client,这位顾客很友好。,This customer is very friendly.,"<img src=""customer.jpg"" />"
顾问,gù wèn,adviser,我爸爸是顾问。,My dad is a consultant.,
刮,guā,to scrape,外面在刮大风。,The wind is blowing hard outside.,"<img src=""scrape.jpg"" />"
挂,guà,to hang; to suspend (from a hook etc),我挂电话了。,I'm hanging up the phone.,"<img src=""suspend.jpg"" />"
乖,guāi,"(of a child) obedient, well-behaved",这孩子真乖。,This child is really well-behaved.,
怪,guài,odd; strange; uncanny,这天气真怪。,The weather is really strange.,"<img src=""strange.jpg"" />"
关闭,guān bì,to close; to shut (a window etc),请关闭窗户。,Please close the window.,"<img src=""shut.jpg"" />"
关键,guān jiàn,crucial point,沟通是关键。,Communication is key.,"<img src=""crucial.jpg"" />"
关系,guān xi,relation,我们关系很好。,We have a good relationship.,
关心,guān xīn,to be concerned about; to care about,妈妈很关心我。,Mom cares about me.,
关于,guān yú,pertaining to,关于这个，我知道了。,I understand regarding this.,
关注,guān zhù,to pay attention to; to follow sth closely; to follow (on social media),我关注你的账号。,I follow your account.,"<img src=""attention.jpg"" />"
观察,guān chá,to observe; to watch; to survey,我常观察蚂蚁。,I often observe ants.,"<img src=""observe.jpg"" />"
观点,guān diǎn,point of view,你的观点是什么？,What is your point of view?,"<img src=""view.jpg"" />"
观看,guān kàn,to watch; to view,我们一起观看电影吧。,Let's watch a movie together.,
观众,guān zhòng,spectators; audience; visitors (to an exhibition etc),观众很多。,There are many spectators.,"<img src=""audience.jpg"" />"
官方,guān fāng,government,官方已经确认了。,Officials have confirmed it.,
官员,guān yuán,official (in an organization or government),这位官员很友善。,This official is very friendly.,"<img src=""official.jpg"" />"
冠军,guàn jūn,champion,他是冠军。,He is the champion.,
管理,guǎn lǐ,to supervise,我来管理吧。,I'll manage it.,"<img src=""supervise.jpg"" />"
光,guāng,light; ray (CL:道[dao4]),钱都花光了。,The money is all spent.,"<img src=""light.jpg"" />"
广播,guǎng bō,broadcast,我在听广播。,I am listening to the radio.,
广场,guǎng chǎng,public square; plaza,我们去广场吧。,Let's go to the square.,
广告,guǎng gào,to advertise,这广告真长。,This ad is so long.,"<img src=""advertise.jpg"" />"
规定,guī dìng,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota),公司规定早上九点上班。,The company requires starting work at nine.,"<img src=""prescribe.jpg"" />"
规划,guī huà,to draw up a plan; to map out a program,我规划了行程。,I planned the trip.,
规则,guī zé,rule; regulation,游戏规则是什么？,What are the game rules?,"<img src=""rule.jpg"" />"
鬼,guǐ,disembodied spirit; ghost; devil,我小时候怕鬼。,I was afraid of ghosts when I was little.,"<img src=""devil.jpg"" />"
贵,guì,short name for Guizhou 貴州|贵州[Gui4 zhou1],这衣服太贵了。,This dress is too expensive.,
滚,gǔn,to boil,球滚走了。,The ball rolled away.,
锅,guō,pot; pan; wok; cauldron,我买了一个新锅。,I bought a new pot.,"<img src=""pot.jpg"" />"
国际,guó jì,international,我喜欢国际电影。,I like international movies.,"<img src=""international.jpg"" />"
国家,guó jiā,country; nation; state,我爱我的国家。,I love my country.,"<img src=""nation.jpg"" />"
国内,guó nèi,domestic,他刚回国内。,He just returned to the country.,"<img src=""domestic.jpg"" />"
国外,guó wài,abroad,他在国外工作。,He works abroad.,"<img src=""abroad.jpg"" />"
国王,guó wáng,king,国王住在城堡里。,The king lives in a castle.,
果然,guǒ rán,really,你果然猜对了。,You guessed right as expected.,
过程,guò chéng,course of events; process,这个过程很有趣。,This process is very interesting.,"<img src=""process.jpg"" />"
过度,guò dù,excessive,别过度担心。,Don't worry too much.,
过分,guò fèn,excessive; undue,这要求太过分了。,This request is too excessive.,
过来,guò lái,to come over,你过来一下。,Please come over here.,
过去,guò qù,(in the) past; former; previous,我过去住在北京。,I used to live in Beijing.,"<img src=""previous.jpg"" />"
哈,Hā,"abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan",我去过哈。,I've been to Harbin.,
哈哈,hā hā,(onom.) laughing out loud,哈哈，太搞笑了！,"Haha, that's so funny!",
嗨,hāi,oh alas,嗨，你好吗？,"Hi, how are you?",
还是,hái shi,still (as before),喝茶还是咖啡？,Tea or coffee?,"<img src=""still.jpg"" />"
还有,hái yǒu,there still remain(s); there is (or are) still,我还有作业。,I still have homework.,
孩子,hái zi,child,孩子今天很开心。,The child is very happy today.,
海军,hǎi jūn,navy,爸爸是海军。,My dad is in the navy.,"<img src=""navy.jpg"" />"
害,hài,to do harm to,别害我。,Don't harm me.,"<img src=""harm.jpg"" />"
害怕,hài pà,to be afraid; to be scared,我害怕黑暗。,I am afraid of the dark.,
含,hán,to keep in the mouth,请含在嘴里。,Please keep it in your mouth.,
喊,hǎn,to yell,妈妈喊我吃饭。,Mom is calling me for dinner.,"<img src=""yell.jpg"" />"
航班,háng bān,(scheduled) flight; (scheduled) sailing,我的航班晚点了。,My flight is delayed.,
航空,háng kōng,aviation,我在学航空。,I am studying aviation.,
毫无,háo wú,not in the least,我毫无准备。,I am completely unprepared.,
豪华,háo huá,luxurious,这房间很豪华。,This room is very luxurious.,
好,hǎo,good,今天天气真好。,The weather is really nice today.,
好吃,hǎo chī,tasty; delicious,这菜很好吃。,This dish is delicious.,"<img src=""delicious.jpg"" />"
好处,hǎo chǔ,easy to get along with,这工作好处很多。,This job has many benefits.,"<img src=""along.jpg"" />"
好多,hǎo duō,many,我买了好多书。,I bought many books.,
好好,hǎo hǎo,well; carefully; nicely; properly,你要好好学习。,You should study well.,"<img src=""carefully.jpg"" />"
好久,hǎo jiǔ,(coll.) for a long time,我们好久没见了。,We haven't seen each other for quite a while.,
好看,hǎo kàn,good-looking; nice-looking,这部电影很好看。,This movie is great.,
好奇,hào qí,inquisitive,我很好奇。,I am curious.,
好人,hǎo rén,good person,他是个好人。,He is a good person.,
好事,hǎo shì,"good action, deed, thing or work (also sarcastic, ""a fine thing indeed"")",这是件好事。,This is a good thing.,"<img src=""deed.jpg"" />"
好像,hǎo xiàng,as if,他好像生病了。,He seems sick.,
好运,hǎo yùn,good luck,祝你好运！,Good luck to you!,
号,háo,(bound form) to wail; to howl,他痛得直号。,He cried out in pain.,"<img src=""wail.jpg"" />"
号码,hào mǎ,number,你的号码是多少？,What is your number?,
喝,hē,to drink,我想喝水。,I want to drink water.,"<img src=""drink.jpg"" />"
合,gě,100 ml,倒两合米进去。,Pour two ge of rice in.,
合法,hé fǎ,lawful,这是合法的吗？,Is this legal?,
合理,hé lǐ,rational; reasonable; sensible; fair,这个价格很合理。,This price is very reasonable.,"<img src=""sensible.jpg"" />"
合适,hé shì,suitable; fitting; appropriate,这件衣服很合适。,This shirt fits well.,"<img src=""appropriate.jpg"" />"
合同,hé tong,contract; agreement,我们签了合同。,We signed the contract.,
合约,hé yuē,contract; agreement,我们签了合约。,We signed a contract.,
合作,hé zuò,to cooperate; to collaborate; to work together,我们合作吧。,Let's work together.,"<img src=""collaborate.jpg"" />"
和,hé,old variant of 和[he2],我和他吃饭。,I eat with him.,
和平,Hé píng,peace,我们爱和平。,We love peace.,"<img src=""peace.jpg"" />"
和谐,hé xié,harmonious,我们家庭很和谐。,Our family is very harmonious.,
河,hé,"river (CL:條|条[tiao2],道[dao4])",我们去河边吧。,Let's go to the river.,
核,hé,pit,请核对账单。,Please check the bill.,
核心,hé xīn,core; nucleus,这是问题的核心。,This is the core of the problem.,"<img src=""nucleus.jpg"" />"
盒,hé,small box,请给我一盒糖。,Please give me a box of candy.,
黑,Hēi,short name for Heilongjiang 黑龍江|黑龙江[Hei1 long2 jiang1],我是黑省的。,I'm from Heilongjiang.,
黑暗,hēi àn,dark,我喜欢黑暗。,I like darkness.,
黑色,hēi sè,black,我喜欢黑色。,I like black.,"<img src=""black.jpg"" />"
嘿,hēi,hey,嘿，你好吗？,"Hey, how are you?",
很,hěn,very; quite,今天很冷。,It's very cold today.,
狠,hěn,ruthless; fierce; ferocious,她心太狠了。,She's too ruthless.,"<img src=""fierce.jpg"" />"
恨,hèn,to hate,我恨下雨天。,I hate rainy days.,
哼,hēng,to groan,哼，我不信。,"Hmph, I don't believe it.",
红色,hóng sè,red (color),我喜欢红色。,I like red.,"<img src=""red.jpg"" />"
吼,hǒu,to roar,别吼了，我听见了。,"Stop yelling, I heard you.",
后果,hòu guǒ,consequences; aftermath,后果很严重。,The consequences are serious.,
后悔,hòu huǐ,to regret; to feel remorse,我后悔没去。,I regret not going.,"<img src=""remorse.jpg"" />"
后来,hòu lái,afterwards; later,后来我去了北京。,Later I went to Beijing.,"<img src=""later.jpg"" />"
后面,hòu mian,the back; the rear; the last bit,请站在我后面。,Please stand behind me.,"<img src=""rear.jpg"" />"
厚,hòu,thick,这书很厚。,This book is very thick.,"<img src=""thick.jpg"" />"
呼吸,hū xī,to breathe,请慢慢呼吸。,Please breathe slowly.,"<img src=""breathe.jpg"" />"
湖,hú,lake,我们去湖边散步吧。,Let's take a walk by the lake.,
虎,hǔ,tiger,我画了一只虎。,I drew a tiger.,
互相,hù xiāng,each other,我们互相帮助。,We help each other.,
户,hù,a household,这一户有三口人。,This household has three people.,"<img src=""household.jpg"" />"
护,hù,to protect,妈妈护着孩子。,Mom protects the child.,
护士,hù shi,nurse,我妈妈是护士。,My mom is a nurse.,"<img src=""nurse.jpg"" />"
花园,huā yuán,"garden (for flowers, ornamental plants etc); (landscaped) park; yard with decorative plants",我们去花园玩吧。,Let's go play in the garden.,"<img src=""garden.jpg"" />"
化学,huà xué,chemistry,我喜欢化学。,I like chemistry.,"<img src=""chemistry.jpg"" />"
划,huá,to row,我们去划船吧。,Let's go rowing.,"<img src=""row.jpg"" />"
画,huà,to draw; to paint,我喜欢画画。,I like drawing.,
画面,huà miàn,scene,这幅画面很美。,This scene is very beautiful.,"<img src=""scene.jpg"" />"
话,huà,dialect,你说什么话？,What are you saying?,
话题,huà tí,subject (of a talk or conversation),今天的话题是什么？,What is today's topic?,"<img src=""subject.jpg"" />"
怀念,huái niàn,to cherish the memory of,我怀念小时候。,I miss my childhood.,"<img src=""memory.jpg"" />"
怀疑,huái yí,to doubt (sth); to be skeptical of,我怀疑他撒谎。,I suspect he's lying.,"<img src=""doubt.jpg"" />"
怀孕,huái yùn,pregnant,她怀孕了。,She is pregnant.,"<img src=""pregnant.jpg"" />"
坏,huài,bad,手机坏了。,The phone is broken.,"<img src=""bad.jpg"" />"
环节,huán jié,"(zoology) segment (of the body of a worm, centipede etc)",你负责哪个环节？,Which part are you responsible for?,"<img src=""zoology.jpg"" />"
环境,huán jìng,environment,我喜欢这里的环境。,I like the environment here.,"<img src=""environment.jpg"" />"
幻想,huàn xiǎng,to fantasize; to imagine,这只是我的幻想。,This is just my fantasy.,"<img src=""imagine.jpg"" />"
换,huàn,to exchange,我想换衣服。,I want to change clothes.,"<img src=""exchange.jpg"" />"
患,huàn,to suffer (from illness),他患感冒了。,He has a cold.,"<img src=""suffer.jpg"" />"
患者,huàn zhě,patient; sufferer,患者需要休息。,The patient needs to rest.,"<img src=""patient.jpg"" />"
欢乐,huān lè,gaiety,今天真欢乐。,Today is so joyful.,
欢迎,huān yíng,to welcome,我们欢迎你。,We welcome you.,"<img src=""welcome.jpg"" />"
黄金,huáng jīn,gold,这是黄金做的。,This is made of gold.,
灰,huī,ash,衣服上有灰。,There is dust on the clothes.,"<img src=""ash.jpg"" />"
恢复,huī fù,to reinstate,身体恢复了吗？,Have you recovered yet?,
挥,huī,to wave,她挥了挥手。,She waved her hand.,"<img src=""wave.jpg"" />"
回,huí,Hui ethnic group (Chinese Muslims),我明天回家。,I will go home tomorrow.,
回报,huí bào,(in) return,我会好好回报你。,I will repay you well.,
回答,huí dá,to reply; to answer,请回答问题。,Please answer the question.,
回到,huí dào,to return to,我回到北京了。,I returned to Beijing.,
回复,huí fù,"to recover; to revert; to return to (good health, normal condition etc)",我还没回复他。,I haven't replied to him yet.,"<img src=""normal.jpg"" />"
回归,huí guī,to return to,我们回归正题吧。,Let's get back to the main topic.,
回家,huí jiā,to return home,我明天回家。,I will go home tomorrow.,"<img src=""home.jpg"" />"
回来,huí lai,to return; to come back,我明天回来。,I will come back tomorrow.,
回去,huí qu,to return,我明天回去。,I will go back tomorrow.,
回头,huí tóu,to turn round; to turn one's head,回头见！,See you later!,
回忆,huí yì,to recall,我喜欢回忆过去。,I like recalling the past.,"<img src=""recall.jpg"" />"
毁,huǐ,to destroy; to ruin,别毁了我们的计划。,Don't ruin our plans.,"<img src=""destroy.jpg"" />"
会,huì,can; to have the skill; to know how to,我会游泳。,I can swim.,"<img src=""can.jpg"" />"
会见,huì jiàn,to meet with (sb who is paying a visit),我们明天会见客人。,We will meet with the guest tomorrow.,"<img src=""meet.jpg"" />"
会议,huì yì,meeting,明天有个会议。,There is a meeting tomorrow.,"<img src=""meeting.jpg"" />"
婚礼,hūn lǐ,wedding ceremony,我们参加了婚礼。,We attended the wedding.,"<img src=""ceremony.jpg"" />"
婚姻,hūn yīn,marriage; matrimony,他们的婚姻很幸福。,Their marriage is very happy.,
混,hún,muddy; turbid (variant of 渾|浑[hun2]),这水很混。,The water is very muddy.,
混合,hùn hé,to mix; to blend,请混合这两种颜色。,Please mix these two colors.,"<img src=""blend.jpg"" />"
混乱,hùn luàn,confused; chaotic; disorderly,交通太混乱了。,Traffic is too chaotic.,"<img src=""chaotic.jpg"" />"
活,huó,to live,这鱼真活。,This fish is really alive.,
活动,huó dòng,to exercise; to move about; to work out,周末有什么活动？,What activities are there this weekend?,"<img src=""exercise.jpg"" />"
活力,huó lì,energy,年轻人很有活力。,Young people have lots of energy.,"<img src=""energy.jpg"" />"
火车,huǒ chē,train,我们坐火车吧。,Let's take the train.,"<img src=""train.jpg"" />"
火箭,huǒ jiàn,rocket,我想坐火箭。,I want to ride a rocket.,
或,huò,maybe,明天或后天去？,Go tomorrow or the day after?,"<img src=""maybe.jpg"" />"
或是,huò shì,or,喝茶或是咖啡？,Tea or coffee?,
或许,huò xǔ,perhaps; maybe,或许他会来。,Maybe he will come.,"<img src=""perhaps.jpg"" />"
或者,huò zhě,or,喝茶或者咖啡都行。,Tea or coffee works.,
货,huò,goods,货物到了。,The goods have arrived.,
获,huò,(literary) to catch; to capture,我获奖了。,I won a prize.,"<img src=""capture.jpg"" />"
获得,huò dé,to obtain; to receive; to get,我获得了第一名。,I got first place.,
获胜,huò shèng,to win,我们队获胜了。,Our team won.,
机场,jī chǎng,airport; airfield,我们去机场吧。,Let's go to the airport.,
机构,jī gòu,mechanism,这家机构很有名。,This organization is very famous.,"<img src=""mechanism.jpg"" />"
机关,jī guān,mechanism; gear,我去机关上班。,I work at an agency.,
机会,jī huì,opportunity,给我一次机会。,Give me a chance.,
机器,jī qì,machine,这台机器很好用。,This machine is very easy to use.,"<img src=""machine.jpg"" />"
机械,jī xiè,machine,这台机械坏了。,This machine is broken.,
肌肉,jī ròu,muscle,我每天练肌肉。,I train my muscles every day.,"<img src=""muscle.jpg"" />"
鸡,jī,fowl,妈妈买了只鸡。,Mom bought a chicken.,
鸡蛋,jī dàn,(chicken) egg,我要两个鸡蛋。,I want two eggs.,"<img src=""chicken.jpg"" />"
积极,jī jí,active,他做事很积极。,He is very proactive.,"<img src=""active.jpg"" />"
基本,jī běn,basic,我基本同意。,I basically agree.,"<img src=""basic.jpg"" />"
基本上,jī běn shang,basically,基本上没问题。,It's basically okay.,
基础,jī chǔ,base; foundation; basis,他的中文基础很好。,His Chinese foundation is very good.,"<img src=""foundation.jpg"" />"
基地,jī dì,al-Qaeda,我们去基地吧。,Let's go to the base.,
基金,jī jīn,fund,我想买基金。,I want to buy funds.,"<img src=""fund.jpg"" />"
基因,jī yīn,gene (loanword),这跟基因有关。,It's related to genes.,"<img src=""gene.jpg"" />"
基于,jī yú,because of,基于你的建议，我改了。,"Based on your suggestion, I changed it.","<img src=""because.jpg"" />"
激动,jī dòng,to move emotionally,我很激动。,I am very excited.,
激烈,jī liè,(of competition or fighting) intense,比赛很激烈。,The match is intense.,"<img src=""fighting.jpg"" />"
激情,jī qíng,passion,她说话很有激情。,She speaks with great passion.,
及,jí,and,苹果及香蕉都好吃。,Apples and bananas are both delicious.,
及时,jí shí,timely; at the right time,请及时回复。,Please reply promptly.,
级,jí,level,我升了一级。,I advanced one grade.,
即,jí,namely,我即去办。,I'll go handle it right away.,
即便,jí biàn,even if,即便下雨，我也要去。,"Even if it rains, I'll still go.",
即将,jí jiāng,about to; on the point of; soon,火车即将出发。,The train is about to depart.,
即使,jí shǐ,even if; even though,即使下雨，我也要去。,"Even if it rains, I will still go.","<img src=""though.jpg"" />"
极,jí,extremely,天气极冷。,The weather is extremely cold.,"<img src=""extremely.jpg"" />"
极了,jí le,extremely,他高兴极了。,He is extremely happy.,
