Word,Meaning,Pinyin,Example,Translation
保留,"giữ nguyên, bảo tồn",bǎoliú,保留意见,giữ nguyên ý kiến
风土人情,phong thổ,fēngtǔ rénqíng,,
不断,"thường xuyên, không ngừng",bùduàn,接连不断,liên tiếp không dừng
性能,tính năng,xìngnéng,这种插秧机构造简单，性能良好。,loại máy cày này có cấu tạo đơn giản nhưng có tính năng rất tốt.
包含,"chứa, bao gồm",bāohán,每粒米都包含着劳动人民的血汗。,mỗi hạt gạo đều thấm đẫm mồ hôi và nước mắt của người lao động
魔术,ảo thuật,móshù,,
驱逐,trục xuất,qūzhú,驱逐出境。,đuổi ra khỏi biên giới.
须知,điều cần biết,xūzhī,游览须知,du khách cần biết
放大,phóng to,fàngdà,放大镜,kính lúp; kính phóng đại.
担任,đảm nhiệm,dānrèn,担任小组长,làm tổ trưởng
消极,tiêu cực,xiāojí,消极言论。,luận điệu tiêu cực.
监狱,"nhà tù,nhà giam",jiānyù,,
佳肴,"cao lương mỹ vị,  món ngon",jiāyáo,,
区别,khác biệt,qūbié,区别好坏。,phân biệt tốt xấu; phân biệt hay dở.
恨不得,"hận không thể, muốn",hènbude,他恨不得长出翅膀来一下子飞到北京去。,anh ấy hận không thể mọc thêm đôi cánh để bay đến Bắc Kinh.
信念,"niềm tin, lòng tin",xìnniàn,,
评价,đánh giá,píngjià,评价文学作品。,đánh giá tác phẩm văn học.
妨碍,gây trở ngại,fáng'ài,大声说话妨碍别人学习。,nói chuyện lớn tiếng ảnh hưởng đến việc học của người khác.
呆,"ngốc, ngẩn ngơ",dāi,呆头呆脑,đầu óc ngu si; ngu si; đần độn
否定,phủ định,fǒudìng,全盘否定,phủ nhận toàn bộ
谴责,lên án,qiǎnzé,世界进步舆论都谴责侵略者的挑衅。,dư luận tiến bộ trên thế giới đều lên án sự khiêu khích của kẻ xâm lược.
捧,"nâng, bê, bưng",pěng,捧着花生来。,bưng đậu phụng lại.
预防,phòng ngừa,yùfáng,预防传染病。,dự phòng bệnh truyền nhiễm.
哆嗦,"lạnh cóng, căm căm, run cầm cập",duōsuō,,
毛巾,khăn mặt,máojīn,,
磁带,băng từ,cídài,,
存在,tồn tại,cúnzài,存在决定意识，不是意识决定存在。,"vật chất quyết định ý thức, chứ không phải ý thức quyết định vật chất."
可见,có thể thấy,kějiàn,由此可见，这次事故是因为思想麻痹造成的。,"từ đó thấy rõ, chuyện lần này là do tư tưởng cứng nhắc tạo ra."
授予,trao tặng,shòuyǔ,,
布,vải,bù,棉布,vải bông
当场,tại chỗ,dāngchǎng,当场出丑,lòi mặt xấu ngay tại chỗ; mất mặt ngay tại chỗ.
仓促,vội vàng,cāngcù,,
结果,kết quả,jiéguǒ,开花结果。,ra hoa kết quả.
墨水儿,mực nước,mòshuǐ er,,
化妆,trang điểm,huàzhuāng,,
迹象,dấu vết,jīxiàng,,
借,"vay, mượn",jiè,向图书馆借书。,mượn sách ở thư viện.
统一,thôống nhất,tǒngyī,统一体,thể thống nhất
洗手间,nhà vệ sinh,xǐshǒujiān,,
业余,nghiệp dư,yèyú,业余时间,làm việc ngoài giờ
铃,chuông,líng,哑铃。,quả tạ tay.
随意,tùy ý,suíyì,,
万,"vạn, mười nghìn",wàn,万国。,nhiều nước.
使劲儿,"gắng sức, ra sức",shǐjìn er,,
双,đôi,shuāng,双翅。,đôi cánh.
功夫,"công sức, bản lĩnh, thời gian",gōngfu,他的诗功夫很深。,trình độ thơ của anh ấy rất cao.
特别,đặc biệt,tèbié,特别的式样,kiểu đặc biệt
见多识广,hiểu biết sâu rộng,jiàn duō shì guǎng,,
乘,"đáp, đi, cưỡi",chéng,乘 车。,đáp xe đi; đón xe đi.
年纪,tuổi tác,nián jì,像我这样的年纪。,Tuổi tác như tôi
败坏,hư hỏng,bàihuài,败坏风俗。,làm tổn hại đến thuần phong mỹ tục
银,bạc,yín,银 行,ngân hàng
保管,bảo quản,bǎoguǎn,图书保管工作,công tác bảo quản thư viện
策略,sách lược,cèlüè,斗争策略,sách lược đấu tranh
福利,phúc lợi,fúlì,福利费,phí phúc lợi
紧,chật,jǐn,绳子拉得很紧。,dây thừng kéo rất căng.
指责,chỉ trích,zhǐzé,大家指责他不爱护公物。,mọi người đều chỉ trích nó không biết yêu quý và bảo vệ của công.
效率,"hiệu suất, năng suất",xiàolǜ,工作效率。,hiệu suất làm việc
祖国,tổ quốc,zǔguó,,
刚才,"ban nãy, vừa mới",gāngcái,他把刚才的事儿忘了。,anh ấy quên mất chuyện vừa rồi.
发生,xảy ra,fāshēng,发生变化,có thay đổi
泛滥,"tràn, tràn lan",fànlàn,洪水泛滥,nước lụt tràn lan
声誉,danh tiếng,shēngyù,维护祖国的声誉。,Bảo vệ danh dự của tổ quốc.
围巾,khăn choàng cổ,wéijīn,,
难过,buồn,nánguò,解放前穷人的日子真难过。,"trước giải phóng, đời sống của dân nghèo rất chật vật."
归还,"trả về, trả lại",guīhuán,向图书馆借书，要按时归还。,"mượn sách ở thư viện, nên trả lại đúng hạn."
联欢,liên hoan,liánhuān,联欢会。,buổi liên hoan.
防御,phòng ngự,fángyù,防御战,đánh phòng ngự
看待,"đối đãi,tiếp đãi",kàndài,把他当亲兄弟看待。,đối đãi với anh ấy như anh em ruột.
完,xong,wán,体无完 肤。,thương tích đầy mình.
可怕,đáng sợ,kěpà,,
沐浴,tắm gội,mùyù,每朵花，每棵树，每根草都沐浴在阳光里。,"mỗi bông hoa, mỗi thân cây, mỗi một ngọn cỏ, đều được tắm trong ánh nắng mặt trời."
以后,"sau này, sau",yǐhòu,从今以后,từ nay về sau
帮助,giúp đỡ,bāngzhù,肯帮助别人,chịu giúp người khác
数学,toán học,shùxué,华罗庚在清华大学数学系当上了助理员。,Hoa La Canh làm nhân viên trợ lý ở khoa toán đại học Thanh Hoa.
迟疑,"do dự, chần chừ",chíyí,迟疑不决。,do dự không quyết định.
出洋相,"xấu mặt, làm trò cười cho thiên hạ",chūyángxiàng,,
顽强,ngoan cố,wánqiáng,他很顽强，没有向困难低过头。,"anh ấy rất ngoan cường, chưa bao giờ khuất phục trước khó khăn."
立场,lập trường,lìchǎng,,
漫画,hoạt họa,mànhuà,,
桥,cây cầu,qiáo,一座桥。,một cây cầu.
试验,"thực nghiệm, thử nghiệm",shìyàn,试验新机器。,thử nghiệm máy mới.
窗户,cửa sổ,chuānghù,,
冷却,"làm lạnh, để nguội",lěngquè,,
示意,"tỏ ý, ra hiệu",shìyì,以目示意。,ra hiệu bằng mắt.
掰,"bẻ, tách, tẽ, cạy, vạch",bāi,掰玉米。,tẽ ngô
祖先,tổ tiên,zǔxiān,始祖鸟是鸟类的祖先。,chim thuỷ tổ là tổ tiên của loài chim.
不择手段,không từ thủ đoạn,bùzéshǒuduàn,,
含糊,mơ hồ,hánhú,含糊其辞,ăn nói úp mở; ăn nói ậm ờ.
晴朗,nắng,qínglǎng,天气晴朗。,trời quang mây tạnh.
拿手,"sở trường, tài năng",náshǒu,拿手好戏。,kịch đặc sắc.
经过,"trải qua, xuyên qua",jīngguò,从北京坐火车到广州要经过武汉,từ Bắc Kinh mà ngồi xe lửa đi Quảng Châu thì phải qua Vũ Hán.
把戏,"xiếc, trò lừa bịp",bǎxì,耍把戏,làm trò
货币,tiền tệ,huòbì,,
面子,mặt,miànzi,被面子。,mặt chăn; mặt mền.
间接,gián tiếp,jiànjiē,间接传染。,truyền nhiễm gián tiếp.
浓厚,dày,nónghòu,浓厚的黑烟。,khói đen dày đặc.
污蔑,phỉ báng,wūmiè,,
皮鞋,giày da,píxié,,
和解,hòa giải,héjiě,双方和解,hoà giải hai bên
弄,làm,nòng,里弄。,xóm phố.
本,quyển,běn,草本,thân cỏ
右边,bên phải,yòubiān,,
难堪,xấu xí,nánkān,难堪的话。,những lời nói khó chấp nhận được.
抢,"cướp lấy, vồ lấy",qiǎng,呼天抢地。,kêu trời đạp đất.
耍,chơi,shuǎ,让孩子到院子里耍去。,đýa trẻ em ra ngoài sân chơi.
房间,"căn phòng, phòng",fángjiān,这套房子有五个房间。,căn nhà này có năm phòng.
地位,địa vị,dìwèi,学术地位,địa vị học thuật
领袖,"laãnh tụ, thủ lĩnh",lǐngxiù,,
女儿,con gái,nǚ'ér,,
震惊,sốc,zhènjīng,震惊世界,làm cả thế giới kinh ngạc
填空,điền vào chỗ trống,tiánkòng,填空补缺,lấp chỗ trống
行政,hành chính,xíngzhèng,行政单位。,đơn vị hành chính
免费,miễn phí,miǎnfèi,免费医疗。,chữa bệnh miễn phí.
惹祸,"tai họa, gây rắc rối",rěhuò,,
桌子,cái bàn,zhuōzi,一张桌子,một cái bàn
细菌,vi khuẩn,xìjùn,,
对抗,"đối kháng, đối đầu",duìkàng,阶级对抗,đối kháng giai cấp
婚礼,hôn lễ,hūnlǐ,举行婚礼,cử hành lễ cưới
雌雄,"thắng bại, cao thấp, sống mái",cíxióng,决一雌雄。,quyết một phen sống mái.
嗨,"nào, này",hāi,加油干呐，嗨!,"cố lên, dô ta nào !"
尖端,"mũi nhọn, đỉnh điểm",jiānduān,尖端科学。,khoa học mũi nhọn.
断绝,"cắt đứt, đoạn tuyệt",duànjué,断绝关系,cắt đứt quan hệ
受罪,"mang vạ, bị giày vò",shòuzuì,,
厌恶,thù ghét,yànwù,大家都厌恶他。,mọi người đều chán ghét nó.
落实,"đầy đủ chu đáo, làm cho chắc chắn",luòshí,生产计划要订得落实。,kế hoạch sản xuất phải vạch ra một cách đầy đủ chắc chắn.
讨论,bàn luận,tǎolùn,讨论会,hội nghị thảo luận; hội thảo.
组成,"tạo thành, cấu thành",zǔchéng,组成全体的各部分。,Cấu thành các bộ phận của toàn thể.
凭,bằng phẳng,píng,凭几。,tựa ghế.
分裂,phân tách,fēnliè,细胞分裂,phân bào
具体,cụ thể,jùtǐ,具体化。,cụ thể hoá.
和睦,"vui vẻ, hòa thuận",hémù,家庭和睦,gia đình hoà thuận
敬爱,kính yêu,jìng'ài,人民敬爱自己的领袖。,nhân dân kính yêu vị lãnh tụ của mình.
合身,vừa vặn,héshēn,这套衣服做得比较合身。,bộ đồ này may rất vừa vặn.
光,ánh sáng,guāng,风光,phong cảnh; quang cảnh
熬,nhọt,áo,熬 白菜。,luộc cải trắng.
洒,"rắc, tung, vẩy",sǎ,扫地的时候先洒些水。,khi quét nhà trước tiên hãy vẩy một ít nước.
问,hỏi,wèn,问事处,chỗ hỏi (điều cần hỏi)
名片,danh thiếp,míngpiàn,,
空气,không khí,kōngqì,空气污染。,ô nhiễm không khí.
公园,"hơn, càng",gōngyuán,,
教授,giáo sư,jiàoshòu,,
封闭,đóng chặt lại,fēngbì,大雪封闭了道路。,tuyết nhiều phủ kín con đường.
逃避,trốn thoát,táobì,逃避斗争,trốn tránh đấu tranh
所以,"cho nên, do vậy",suǒyǐ,我和他在一起工作过，所以对他比较熟悉。,"tôi đã cùng làm việc với anh ấy, cho nên tôi biết anh ấy tương đối rõ."
沙发,ghế sofa,shāfā,,
空洞,"trỗ trống, suông",kōngdòng,空洞无物。,trống rỗng không có đồ đạc gì.
回报,trả lại,huíbào,做好事不图回报。,làm việc tốt không cần báo đáp
渠道,"kênh, kênh truyền hình",qúdào,通过外交渠道。,Qua con đường ngoại giao
调节,"điều tiết, điều chỉnh",tiáojié,水能调节动物的体温,nước có thể điều tiết nhiệt độ trong cơ thể động vật.
合同,hợp đồng,hétóng,产销合同,hợp đồng sản xuất và tiêu thụ.
缺乏,thiếu,quēfá,材料缺乏。,thiếu tài liệu.
诚挚,"chân thành, thân ái",chéngzhì,会谈是在诚挚友好的气氛中进行的。,cuộc hội đàm diễn ra trong không khí hữu nghị chân thành.
先,"trước, đầu tiên",xiān,先 进。,tiên tiến
系列,hàng loạt,xìliè,一系列事实已证明他的话是对的。,Hàng loạt sự thực đã chứng minh lời nói của anh ấy là đúng.
穿,mặc,chuān,把纸穿 了个洞。,chọc tờ giấy thủng một lỗ.
担心,lo lắng,dānxīn,担心情况有变。,lo lắng tình hình có thay đổi.
复制,"phục chế, làm lại",fùzhì,复制品,sản phẩm phục chế
老实,thành thật,lǎoshí,当老实人、说老实话、办老实事。,"hãy làm người trung thực, làm việc trung thực, nói lời trung thực."
禁止,cấm,jìnzhǐ,厂房重地，禁止吸烟。,"đây là nơi quan trọng trong nhà máy, cấm hút thuốc."
您,"ông, bà (tôn trọng)",nín,老师您早!,chào thầy ạ!
氢,hy-drô,qīng,,
斑纹,sọc,bānwén,老虎身上有美丽的斑纹,trên mình hổ có vằn đẹp
发炎,viêm,fāyán,,
路,đường,lù,陆路。,đường bộ.
时装,thời trang,shízhuāng,,
物资,vật liệu,wùzī,物资交流。,trao đổi vật tư.
医院,bệnh viện,yīyuàn,,
吨,tấn,dūn,,
样子,dáng vẻ,yàngzi,这件衣服样子很好看。,bộ đồ này kiểu dáng rất đẹp.
调料,đò gia vị,tiáoliào,,
承诺,cam kết,chéngnuò,,
嫌,nghi ngờ,xián,避嫌 。,tránh hiềm nghi
形式,hình thức,xíngshì,组织形式。,hình thức tổ chức
营养,dinh dưỡng,yíngyǎng,水果富于营养,trái cây giàu chất dinh dưỡng.
岁,tuổi,suì,岁月。,năm tháng.
即使,cho dù,jíshǐ,即使我们的工作得到了很大的成绩，也不能骄傲自满。,"cho dù chúng ta đạt được nhiều thành tích trong công tác, cũng không được kiêu căng tự mãn."
辞职,từ chức,cízhí,辞职书,thư từ chức; đơn từ chức.
斟酌,trân trọng,zhēnzhuó,再三斟酌,suy đi nghĩ lại
保守,bảo thủ,bǎoshǒu,保守秘密,giữ bí mật
机会,cơ hội,jīhuì,错过机会。,bỏ lỡ cơ hội.
维生素,vitamin,wéishēngsù,,
糖,đường,táng,奶糖,kẹo sữa
罐头,đồ hộp,guàntóu,,
平等,bình đẳng,píngděng,平等互利。,bình đẳng cùng có lợi.
成长,lớn lên,chéngzhǎng,前年裁的果树还没有成长。,cây ăn quả trồng năm ngoái vẫn chưa lớn.
故乡,"quê nhà, quê hương",gùxiāng,,
红包,"tiền thưởng, tiền lì xì",hóngbāo,送红包,tiền lì xì
突破,đột phá,túpò,突破封锁,phá vòng vây; đột phá sự phong toả.
青春,tuổi trẻ,qīngchūn,把青春献给祖国。,hiến dâng tuổi thanh xuân cho đất nước.
展开,"triển khai, tiến hành",zhǎnkāi,展开画卷,mở bức hoạ cuốn tròn.
轨道,đường ray,guǐdào,人造卫星进入轨道。,vệ tinh nhân tạo đã tiến vào quỹ đạo.
被动,bị động,bèidòng,,
读,đọc,dú,朗读,đọc to
沿海,duyên hải,yánhǎi,,
盛情,thịnh tình,shèngqíng,盛情厚谊。,tình cảm nồng nàn.
急于求成,vội vàng mong đạt được thành công,jíyú qiú chéng,,
熨,"ủi, là",yù,这一番坦诚的谈话，说得他心里十分熨。,cuộc nói chuyện thẳng thắn này làm cho anh ấy hết sức yên lòng.
渴望,"khát vọng, khát khao",kěwàng,渴望和平。,khát khao hoà bình.
发展,phát triển,fāzhǎn,事态还在发展。,tình hình vẫn còn đang phát triển.
占据,chiếm,zhànjù,占据地盘,chiếm địa bàn
办理,xử lý,bànlǐ,办理手续,làm thủ tục
心得,tâm đắc,xīndé,学习心得。,tâm đắc qua học tập
发言,phát biểu,fāyán,积极发言,tích cực phát biểu ý kiến
总共,"tổng cộng, tất cả",zǒnggòng,他家总共三口人。,nhà anh ấy tổng cộng có ba người.
连,ngay cả,lián,心连心。,tâm liền tâm.
精神,tinh thần,jīngshén,精神面貌。,bộ mặt tinh thần.
最初,đầu tiên,zuìchū,那里最初还是不毛之地。,nơi đây lúc đầu là đồng khô cỏ cháy.
回忆,"hồi ức, hồi tưởng",huíyì,回忆过去,nhớ lại quá khứ
曲子,bài hái,qǔzi,这支曲子很好听。,ca khúc này nghe rất hay.
日记,nhật ký,rìjì,日记本,quyển nhật ký.
溪,suối,xī,,
屁股,đít,pìgu,胡蜂的屁股上有刺。,đít ong có vòi đốt.
疑惑,nghi ngờ,yíhuò,疑惑不解,nghi ngờ không giải thích được
礼物,"quà, lễ vật",lǐwù,,
情理,"tình lý, lẽ phải",qínglǐ,不近情理。,không hợp tình hợp lý.
阵地,"trâận địa, mặt trận",zhèndì,阵地战,trận địa chiến
擦,"chà, cọ xát",cā,摩拳擦掌,xoa tay hăm hở
剩,"còn lại, thừa lại",shèng,剩饭。,cơm thừa.
以致,"đến nỗi, khiến, cho nên",yǐzhì,他事先没有充分调查研究，以致做出了错误的结论。,"anh ấy không điều tra nghiên cứu đầy đủ trước, cho nên đã đýa ra kết luận sai lầm."
追求,theo đuổi,zhuīqiú,追求真理,theo đuổi chân lý
谨慎,cẩn thận,jǐnshèn,小心谨慎。,cẩn thận; dè dặt.
雄伟,hùng vĩ,xióngwěi,雄伟的天安门。,Thiên An Môn hùng vĩ
气候,khí hậu,qìhòu,政治气候。,hoàn cảnh chính trị.
呀,"a, ô (kinh ngạc)",ya,呀，下雪了。,"a, tuyết rơi rồi"
断定,"kết luận, nhận định",duàndìng,我敢断定这事是他干的。,tôi có thể nói việc này do anh ấy làm.
直接,trực tiếp,zhíjiē,直接关系,quan hệ trực tiếp.
天才,thiên tài,tiāncái,艺术天才,thiên tài nghệ thuật
随即,ngay,suíjí,,
挥霍,phung phí,huīhuò,挥霍无度,tiêu pha vô độ; tiêu xài phung phí
食物,thức ăn,shíwù,,
贬义,nghĩa xấu,biǎnyì,贬义词。,từ mang nghĩa xấu
帽子,mũ,màozi,一顶帽子。,một cái mũ.
绕,"quấn, cuyển động",rào,绕线。,quấn chỉ.
进口,nhập khẩu,jìnkǒu,进口货。,hàng nhập khẩu.
工人,công nhân,gōngrén,,
牵制,"kiềm chế, hãm chân",qiānzhì,我军用两个团的兵力牵制了敌人的右翼。,quân ta sử dụng hai trung đoàn kềm chế cánh phải của địch.
依次,"lần lượt, theo thứ tự",yīcì,依次入座,lần lượt vào chỗ ngồi
童话,truyện cổ tích,tónghuà,,
紧张,"căng thẳng, lo lắng",jǐnzhāng,第一次登台，免不了有些紧张。,"lần đầu tiên lên sân khấu, không tránh khỏi có chút hồi hộp."
形象,"hình tượng, hình ảnh",xíngxiàng,图画教学是通过形象来发展儿童认识事物的能力。,dạy học bằng tranh vẽ là thông qua hình ảnh để phát triển năng lực nhận thức sự vật của trẻ em.
远,xa,yuǎn,远 处,nơi xa; chốn xa
见闻,"hiểu biết, sự từng trải",jiànwén,见闻广。,hiểu biết rộng.
独裁,độc tài,dúcái,独裁者,kẻ độc tài
便,"ngay cả, dù cho",biàn,轻便。,gọn nhẹ; tiện lợi
草,cỏ,cǎo,野草。,cỏ hoang; cỏ dại
周折,"trục trặc, trắc trở",zhōuzhé,大费周折,gặp nhiều trắc trở
偏僻,"hoang vu, hẻo lánh",piānpì,偏僻的山区。,vùng núi hẻo lánh.
奇怪,kì lạ,qíguài,海里有不少奇怪的动植物。,dưới biển có nhiều động thực vật kỳ lạ.
刺激,kích thích,cìjī,刺激生产力的发展。,thúc đẩy phát triển sức sản xuất.
起伏,"nhấp nhô, lên xuống",qǐfú,这一带全是连绵起伏的群山。,vùng này đều là những dãy núi nhấp nhô trùng điệp.
备忘录,bản ghi nhớ,bèiwànglù,,
种,"loại, trồng(cây)",zhǒng,猫是哺乳动物猫科猫属的一种。,mèo là động vật có vú và là một loài thuộc họ mèo.
欣赏,thưởng thức,xīnshǎng,他站在窗前，欣赏雪景。,"anh ấy đứng trước cửa, ngắm cảnh tuyết."
讲,"giảng, nói",jiǎng,讲故事。,kể chuyện.
笔记本,máy tính sách tay,bǐjìběn,,
出差,đi công tác,chūchāi,,
流行,phổ biến,liúxíng,流行性感冒。,dịch cúm đang hoành hành.
熟练,"thành thạo, thuần thục",shúliàn,,
技能,kỹ năng,jìnéng,,
人间,"nhân gian, thế giới",rénjiān,人间乐园,thiên đàng giữa nhân gian.
道歉,xin lỗi,dàoqiàn,赔礼道歉,nhận lỗi; chịu lỗi
一定,nhất định,yīdìng,每天工作几小时，学习几小时，休息几小时，都有一定。,"mỗi ngày làm việc mấy tiếng, học mấy tiếng, nghỉ ngơi mấy tiếng, đều có quy định sẵn."
艰巨,"khó khăn, gian khổ",jiānjù,艰巨的任务。,nhiệm vụ gian khổ.
嘴唇,môi,zuǐchún,上嘴唇,môi trên
预料,"dự liệu, liệu trước",yùliào,预料这个地区农业方面可以比去年增产百分之十。,dự đoán về mặt nông nghiệp vùng này có thể tăng sản lượng 10 % so với năm ngoái
反馈,phản hồi,fǎnkuì,市场销售情况的信息不断反馈到工厂。,thông tin về tình hình tiêu thụ của thị trường không ngừng phản hồi về nhà máy.
尊重,tôn trọng,zūn zhòng,尊重老人,kính trọng người già
惊讶,"kinh ngạc, ngạc nhiên",jīngyà,,
本身,tự bản thân,běnshēn,是单位本身问题。,là vấn đề của chính đơn vị ta
拽,"quăng, ném, vứt",zhuai,拿砖头拽狗。,lấy gạch ném chó.
宿舍,ký túc xá,sùshè,,
纽扣儿,cúc áo,niǔkòur,,
现金,tiền mặt,xiànjīn,你已经输了全部现金，别再赌了。,"mày đã thua hết sạch số tiền hiện có rồi, đừng đánh bạc nữa"
自豪,tự hào,zìháo,自豪感,lòng tự hào
资产,tài sản,zīchǎn,,
呼吁,"hô hào, kêu gọi",hūyù,奔走呼吁,chạy cầu cứu
撞,"đụng, va chạm",zhuàng,撞钟,đánh chuông
有名,"nổi tiếng, nổi danh",yǒumíng,他是有名的登山运动健将。,anh ấy là kiện tướng leo núi nổi tiếng.
世界,thế giới,shìjiè,世界观。,thế giới quan.
得不偿失,"hại nhiều hơn lợi, lợi ít hại nhiều",débùchángshī,,
宣扬,tuyên dương,xuānyáng,宣扬好人好事。,tuyên dương người tốt việc tốt.
珍贵,quý,zhēnguì,珍贵的参考资料。,tư liệu tham khảo quý giá
阶段,giai đoạn,jiēduàn,大桥第一阶段的工程已经完成。,giai đoạn một của công trình cầu lớn đã hoàn thành xong.
助手,"trợ thủ, phụ tá",zhùshǒu,得力助手,trợ lý đắc lực
城堡,lâu dài,chéngbǎo,,
蝴蝶,"bươm bướm, con bướm",húdié,,
购物,mua sắm,gòuwù,,
卖,bán,mài,把余粮卖给国家。,bán thóc thừa cho nhà nước.
紫,màu đỏ tía,zǐ,紫红,màu mận chín
开玩笑,nói đùa,kāiwánxiào,他是跟你开玩笑的，你 别认真。,"anh ấy nói đùa với anh đấy, anh đừng tưởng thật."
长途,đường dài,chángtú,长途旅行。,du lịch đường dài.
地道,địa đạo,dìdào,地道药材。,vị thuốc chính hiệu.
本能,bản năng,běnnéng,,
隐患,tai họa ngầm,yǐnhuàn,消除隐患,loại bỏ tai hoạ ngầm
边缘,"giáp danh, giáp với",biānyuán,边缘地区,vùng sát biên giới
允许,cho phép,yǔnxǔ,得到允许，方可入内。,"cho phép, mới được vào"
拉,kéo,lā,拉锯。,giằng co.
动员,huy động,dòngyuán,动员报告,báo cáo động viên
平方,"vuông, bình phương",píngfāng,,
专心,chuyên tâm,zhuānxīn,专心一意,một lòng một dạ
领域,lĩnh vực,lǐngyù,思想领域。,lĩnh vực tư tưởng.
刑事,hình sự,xíngshì,刑事案件。,vụ án hình sự
公司,công ty,gōngsī,,
经济,kinh tế,jīngjì,经济作物。,cây công nghiệp; cây kinh tế.
贿赂,hối lộ,huìlù,贿赂上司,hối lộ cấp trên
宗教,tôn giáo,zōngjiào,,
清理,dọn dẹp,qīnglǐ,清理仓库。,thanh lý kho.
潜力,tiềm lực,qiánlì,挖掘潜力。,khai thác tiềm lực.
后面,"phía sau, mặt sau, đằng sau",hòumiàn,房子后面有一个花园。,phía sau nhà có một vườn hoa.
就近,"lân cận, vùng phụ cận",jiùjìn,蔬菜、肉类等副食品都是采取就近生产、就近供应的办法。,"biện pháp cung ứng nhanh nhất là rau dưa, thịt thà...đều lấy từ những vùng sản xuất lân cận."
可是,nhưng,kěshì,大家虽然很累，可是都很愉快。,mọi người mặc dù rất mệt nhưng rất vui vẻ.
自发,tự phát,zìfā,自发性,tính tự phát
点缀,tô điểm,diǎnzhuì,蔚蓝的天空点缀着朵朵白云。,bầu trời xanh thẫm được tô điểm vài cụm mây trắng.
实话,"sự thật, nói thật",shíhuà,实话实说。,nói thật; có thật nói thật.
机遇,cơ hội,jīyù,,
依靠,tin cậy,yīkào,依靠群众,dựa vào quần chúng
孤独,"lẻ loi, cô độc",gūdú,孤独的老人,người già cô đơn
乒乓球,bóng bàn,pīngpāng qiú,,
内在,"bên trong, nội tại",nèizài,内在规律。,qui luật nội tại.
通货膨胀,sự lạm phát,tōng huò<br>péngzhàng,,
束缚,"ràng buộc, gò bó",shùfù,,
分辨,,fēnbiàn,分辨香花和毒草,phân biệt hoa thơm và cỏ độc.
将军,tướng quân,jiāngjūn,他当众将了我一军，要我表演舞蹈。,"trước mặt mọi người anh ấy chiếu tướng tôi, bắt tôi phải biểu diễn vũ đạo."
留学,du học,liúxué,留学生。,lưu học sinh.
串,chuỗi,chuàn,贯串 。,quán xuyến.
刻苦,"chịu khổ, chịu khó",kèkǔ,刻苦研究。,khắc khổ nghiên cứu.
专利,bằng sáng chế,zhuānlì,专利权,bản quyền phát minh sáng chế
盘子,"đĩa, mâm , khay",pánzi,,
刻,khắc,kè,雕刻。,điêu khắc.
权衡,"cân nhắc, suy tính",quánhéng,权衡轻重。,cân nhắc sự nặng nhẹ.
根深蒂固,ăn sâu bén rễ,gēnshēndìgù,,
出息,"triển vọng, tiền đồ",chūxi,不管做什么工作，只要对人民有贡献，就有出息。,"bất cứ làm việc gì hễ có cống hiến cho nhân dân, thì đều có tiền đồ."
民族,dân tộc,mínzú,,
正在,đang,zhèng zài,他们正在开会。,họ đang họp.
服气,"chịu phục, chịu thua",fúqì,两个人都很自负，互不服气。,"hai người rất tự phụ, không ai chịu phục ai cả."
处置,"xử lý, xử trí",chǔzhì,处置失当。,xử lý không thoả đáng.
赞同,tán đồng,zàntóng,全厂职工一致赞同这项改革。,công nhân viên chức toàn nhà máy nhất trí tán thành cải cách này.
请柬,thiệp mời,qǐngjiǎn,,
诚实,thành thật,chéngshí,,
敏感,"nhạy cảm, mẫn cảm",mǐngǎn,有些动物对天气的变化非常敏感。,có những loài động vật rất nhạy cảm với sự thay đổi của thời tiết.
几乎,gần như,jīhū,今天到会的几乎有五千人。,hôm nay có gần 50 ngàn người đến dự hội nghị.
三,"ba, số ba",sān,三番五次。,năm lần bảy lượt.
赞美,khen ngợi,zànměi,赞美金色的秋景。,ca ngợi cảnh sắc thu vàng
往事,quá khứ,wǎngshì,回忆往事,nhớ lại những việc đã qua
册,"sổ, quyển, tập",cè,名册,sổ ghi tên
主流,"chủ yếu, xu hướng",zhǔliú,我们必须分清主流和支流，区别本质和现象。,"chúng ta phải phân định rõ ràng xu hướng chính và xu hướng phụ, phân biệt bản chất và hiện tượng."
搬,"chuyển chỗ, chuyển",bān,把货物搬走,chuyển dọn hàng hoá đi
拥护,ủng hộ,yǒnghù,受到人民群众的拥护。,Được sự ủng hộ của quần chúng nhân dân.
器官,cơ quan,qìguān,,
啦,"đấy, nhé, nhá, à",la,二组跟咱们挑战啦!,tổ hai thách thức chúng ta đấy!
迷人,cuốn hút,mírén,,
墙,tường,qiáng,一堵墙。,một bức tường.
大方,hào phóng,dàfāng,大方之家,nhà chuyên môn
单独,"đơn độc, một mình",dāndú,单独行动,hành động một mình
理所当然,tất nhiên,lǐsuǒdāngrán,,
小心,cẩn thận,xiǎoxīn,小心火烛。,coi chừng củi lửa.
趋势,"khuynh hướng, xu thế",qūshì,当前世界的总趋势。,Xu thế chung của thế giới hiện nay.
油炸,rán bằng dầu mỡ,yóu zhá,,
权益,quyền lợi,quányì,合法权益。,quyền lợi hợp pháp.
冷淡,"nhạt nhẽo, lạnh nhạt",lěngdàn,生意冷淡。,buôn bán ế ẩm.
